,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,0.0,0.0
2020-09-08,0,0.0,0.0
2020-09-09,0,0.0,0.0
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,1,1.0,23.82654276864427
2020-09-14,0,1.0,23.82654276864427
2020-09-15,0,1.0,23.82654276864427
2020-09-16,1,2.0,47.65308553728854
2020-09-17,0,2.0,47.65308553728854
2020-09-18,0,2.0,47.65308553728854
2020-09-19,0,2.0,47.65308553728854
2020-09-20,0,1.0,23.82654276864427
2020-09-21,0,1.0,23.82654276864427
2020-09-22,0,1.0,23.82654276864427
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-08,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-13,1,1.0,23.82654276864427
2020-10-14,0,1.0,23.82654276864427
2020-10-15,1,2.0,47.65308553728854
2020-10-16,0,2.0,47.65308553728854
2020-10-17,0,2.0,47.65308553728854
2020-10-18,2,4.0,95.30617107457708
2020-10-19,1,5.0,119.13271384322134
2020-10-20,0,4.0,95.30617107457708
2020-10-21,1,5.0,119.13271384322134
2020-10-22,0,4.0,95.30617107457708
2020-10-23,0,4.0,95.30617107457708
2020-10-24,0,4.0,95.30617107457708
2020-10-25,1,3.0,71.4796283059328
2020-10-26,0,2.0,47.65308553728854
2020-10-27,0,2.0,47.65308553728854
2020-10-28,1,2.0,47.65308553728854
2020-10-29,1,3.0,71.4796283059328
2020-10-30,2,5.0,119.13271384322134
2020-10-31,1,6.0,142.9592566118656
2020-11-01,1,6.0,142.9592566118656
2020-11-02,1,7.0,166.78579938050987
2020-11-03,5,12.0,285.9185132237312
2020-11-04,4,15.0,357.39814152966403
2020-11-05,3,17.0,405.0512270669526
2020-11-06,1,16.0,381.2246842983083
2020-11-07,3,18.0,428.87776983559684
2020-11-08,6,23.0,548.0104836788182
2020-11-09,5,27.0,643.3166547533953
2020-11-10,7,29.0,690.9697402906838
2020-11-11,2,27.0,643.3166547533953
2020-11-12,11,35.0,833.9289969025494
