,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,1,,
2020-09-05,0,,
2020-09-06,4,,
2020-09-07,0,5.0,57.497700091996315
2020-09-08,2,7.0,80.49678012879485
2020-09-09,1,8.0,91.99632014719411
2020-09-10,1,9.0,103.49586016559337
2020-09-11,1,9.0,103.49586016559337
2020-09-12,0,9.0,103.49586016559337
2020-09-13,4,9.0,103.49586016559337
2020-09-14,0,9.0,103.49586016559337
2020-09-15,4,11.0,126.4949402023919
2020-09-16,4,14.0,160.9935602575897
2020-09-17,0,13.0,149.49402023919043
2020-09-18,2,14.0,160.9935602575897
2020-09-19,2,16.0,183.99264029438822
2020-09-20,0,12.0,137.9944802207912
2020-09-21,0,12.0,137.9944802207912
2020-09-22,0,8.0,91.99632014719411
2020-09-23,0,4.0,45.998160073597056
2020-09-24,0,4.0,45.998160073597056
2020-09-25,0,2.0,22.999080036798528
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,1,1.0,11.499540018399264
2020-09-30,0,1.0,11.499540018399264
2020-10-01,0,1.0,11.499540018399264
2020-10-02,0,1.0,11.499540018399264
2020-10-03,0,1.0,11.499540018399264
2020-10-04,1,2.0,22.999080036798528
2020-10-05,0,2.0,22.999080036798528
2020-10-06,0,1.0,11.499540018399264
2020-10-07,0,1.0,11.499540018399264
2020-10-08,0,1.0,11.499540018399264
2020-10-09,0,1.0,11.499540018399264
2020-10-10,0,1.0,11.499540018399264
2020-10-11,1,1.0,11.499540018399264
2020-10-12,0,1.0,11.499540018399264
2020-10-13,1,2.0,22.999080036798528
2020-10-14,0,2.0,22.999080036798528
2020-10-15,1,3.0,34.4986200551978
2020-10-16,0,3.0,34.4986200551978
2020-10-17,0,3.0,34.4986200551978
2020-10-18,0,2.0,22.999080036798528
2020-10-19,0,2.0,22.999080036798528
2020-10-20,1,2.0,22.999080036798528
2020-10-21,0,2.0,22.999080036798528
2020-10-22,3,4.0,45.998160073597056
2020-10-23,1,5.0,57.497700091996315
2020-10-24,2,7.0,80.49678012879485
2020-10-25,1,8.0,91.99632014719411
2020-10-26,3,11.0,126.4949402023919
2020-10-27,1,11.0,126.4949402023919
2020-10-28,3,14.0,160.9935602575897
2020-10-29,4,15.0,172.49310027598895
2020-10-30,2,16.0,183.99264029438822
2020-10-31,3,17.0,195.4921803127875
2020-11-01,7,23.0,264.48942042318305
2020-11-02,2,22.0,252.9898804047838
2020-11-03,13,34.0,390.984360625575
2020-11-04,14,45.0,517.4793008279669
2020-11-05,4,45.0,517.4793008279669
2020-11-06,1,44.0,505.9797608095676
2020-11-07,5,46.0,528.9788408463661
2020-11-08,3,42.0,482.9806807727691
