,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,1,,
2020-09-20,0,1.0,31.259768677711783
2020-09-21,0,1.0,31.259768677711783
2020-09-23,0,3.0,93.77930603313536
2020-09-26,0,3.0,93.77930603313536
2020-09-27,0,3.0,93.77930603313536
2020-09-28,2,3.0,93.77930603313536
2020-10-02,1,3.0,93.77930603313536
2020-10-03,0,3.0,93.77930603313536
2020-10-04,0,3.0,93.77930603313536
2020-10-05,0,1.0,31.259768677711783
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,1.0,31.259768677711783
2020-10-19,0,6.0,187.5586120662707
2020-10-26,0,8.0,250.07814942169426
2020-11-02,1,12.0,375.1172241325414
2020-11-04,5,14.0,437.636761487965
2020-11-09,2,17.0,531.4160675211003
2020-11-10,4,20.0,625.1953735542357
2020-11-16,2,20.0,625.1953735542357
2020-11-17,3,17.0,531.4160675211003
2020-11-18,3,15.0,468.8965301656768
2020-11-19,1,12.0,375.1172241325414
2020-11-20,2,15.0,468.8965301656768
2020-11-21,0,14.0,437.636761487965
2020-11-22,1,11.0,343.8574554548296
2020-11-23,5,14.0,437.636761487965
2020-11-24,2,16.0,500.1562988433885
2020-11-25,0,16.0,500.1562988433885
2020-11-27,4,15.0,468.8965301656768
2020-11-28,4,10.0,312.5976867771179
2020-11-29,0,8.0,250.07814942169426
2020-11-30,0,8.0,250.07814942169426
2020-12-01,0,5.0,156.29884338855894
2020-12-02,0,1.0,31.259768677711783
2020-12-03,0,3.0,93.77930603313536
2020-12-04,1,3.0,93.77930603313536
2020-12-05,0,3.0,93.77930603313536
2020-12-07,2,7.0,218.8183807439825
2020-12-08,0,7.0,218.8183807439825
2020-12-09,0,6.0,187.5586120662707
2020-12-10,4,7.0,218.8183807439825
2020-12-11,0,5.0,156.29884338855894
2020-12-12,0,5.0,156.29884338855894
2020-12-13,1,6.0,187.5586120662707
2020-12-14,0,2.0,62.519537355423566
2020-12-15,0,2.0,62.519537355423566
2020-12-16,1,5.0,156.29884338855894
2020-12-17,0,5.0,156.29884338855894
2020-12-18,0,10.0,312.5976867771179
2020-12-19,3,10.0,312.5976867771179
2020-12-20,1,10.0,312.5976867771179
2020-12-21,5,11.0,343.8574554548296
2020-12-22,0,17.0,531.4160675211003
2020-12-23,1,17.0,531.4160675211003
2020-12-24,1,17.0,531.4160675211003
2020-12-25,6,12.0,375.1172241325414
2020-12-27,3,18.0,562.6758361988121
2020-12-29,1,21.0,656.4551422319474
2020-12-30,0,21.0,656.4551422319474
2020-12-31,6,15.0,468.8965301656768
2021-01-01,4,14.0,437.636761487965
2021-01-02,1,13.0,406.3769928102532
2021-01-03,0,15.0,468.8965301656768
2021-01-04,2,10.0,312.5976867771179
2021-01-05,0,9.0,281.33791809940607
2021-01-08,2,9.0,281.33791809940607
2021-01-09,1,10.0,312.5976867771179
2021-01-10,3,8.0,250.07814942169426
2021-01-11,1,9.0,281.33791809940607
2021-01-12,1,9.0,281.33791809940607
2021-01-13,0,11.0,343.8574554548296
2021-01-14,1,12.0,375.1172241325414
2021-01-15,2,13.0,406.3769928102532
2021-01-16,3,12.0,375.1172241325414
2021-01-17,4,13.0,406.3769928102532
2021-01-18,2,13.0,406.3769928102532
2021-01-19,0,11.0,343.8574554548296
2021-01-20,1,10.0,312.5976867771179
2021-01-21,1,7.0,218.8183807439825
2021-01-22,0,5.0,156.29884338855894
2021-01-23,2,5.0,156.29884338855894
2021-01-24,1,4.0,125.03907471084713
2021-01-25,0,5.0,156.29884338855894
2021-01-26,0,6.0,187.5586120662707
2021-01-27,0,5.0,156.29884338855894
2021-01-28,2,4.0,125.03907471084713
2021-01-29,1,5.0,156.29884338855894
2021-01-30,1,6.0,187.5586120662707
2021-01-31,0,6.0,187.5586120662707
2021-02-01,1,5.0,156.29884338855894
2021-02-02,1,7.0,218.8183807439825
2021-02-03,0,9.0,281.33791809940607
2021-02-04,1,11.0,343.8574554548296
2021-02-05,3,13.0,406.3769928102532
2021-02-06,3,14.0,437.636761487965
2021-02-07,2,14.0,437.636761487965
2021-02-08,3,13.0,406.3769928102532
2021-02-09,2,12.0,375.1172241325414
2021-02-10,0,11.0,343.8574554548296
2021-02-11,0,9.0,281.33791809940607
2021-02-12,2,6.0,187.5586120662707
2021-02-13,2,4.0,125.03907471084713
2021-02-14,0,4.0,125.03907471084713
2021-02-15,0,5.0,156.29884338855894
2021-02-16,0,3.0,93.77930603313536
2021-02-17,0,1.0,31.259768677711783
2021-02-18,1,5.0,156.29884338855894
2021-02-19,0,5.0,156.29884338855894
2021-02-20,0,9.0,281.33791809940607
2021-02-21,4,9.0,281.33791809940607
2021-02-22,0,8.0,250.07814942169426
2021-02-23,4,8.0,250.07814942169426
2021-02-24,0,9.0,281.33791809940607
2021-02-25,0,6.0,187.5586120662707
2021-02-26,0,8.0,250.07814942169426
2021-02-27,1,10.0,312.5976867771179
2021-02-28,1,,
2021-03-01,2,,
2021-03-02,6,,
