,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,1.0,6.628222973420826
2020-09-21,1,1.0,6.628222973420826
2020-09-23,0,1.0,6.628222973420826
2020-09-26,0,1.0,6.628222973420826
2020-09-27,0,1.0,6.628222973420826
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-06,0,1.0,6.628222973420826
2020-10-07,0,1.0,6.628222973420826
2020-10-11,0,1.0,6.628222973420826
2020-10-12,1,1.0,6.628222973420826
2020-10-14,0,1.0,6.628222973420826
2020-10-15,0,2.0,13.256445946841652
2020-10-16,0,10.0,66.28222973420826
2020-10-17,0,23.0,152.449128388679
2020-10-26,1,42.0,278.38536488367464
2020-11-02,8,65.0,430.8344932723537
2020-11-09,14,76.0,503.7449459799828
2020-11-10,19,83.0,550.1425067939285
2020-11-16,23,88.0,583.2836216610327
2020-11-17,11,88.0,583.2836216610327
2020-11-18,7,87.0,576.6553986876119
2020-11-19,6,80.0,530.2578378736661
2020-11-20,8,71.0,470.6038311128786
2020-11-21,13,70.0,463.9756081394578
2020-11-22,12,73.0,483.8602770597203
2020-11-23,14,82.0,543.5142838205077
2020-11-24,10,87.0,576.6553986876119
2020-11-25,10,92.0,609.796513554716
2020-11-27,15,86.0,570.0271757141911
2020-11-28,13,80.0,530.2578378736661
2020-11-29,18,75.0,497.116723006562
2020-11-30,6,75.0,497.116723006562
2020-12-01,8,75.0,497.116723006562
2020-12-02,5,71.0,470.6038311128786
2020-12-05,10,63.0,417.57804732551205
2020-12-07,15,68.0,450.7191621926161
2020-12-11,9,67.0,444.0909392191953
2020-12-12,10,65.0,430.8344932723537
2020-12-13,11,60.0,397.6933784052496
2020-12-15,7,55.0,364.5522635381454
2020-12-16,3,48.0,318.15470272419964
2020-12-17,5,44.0,291.64181083051636
2020-12-18,10,39.0,258.5006959634122
2020-12-19,2,35.0,231.9878040697289
2020-12-20,6,40.0,265.12891893683303
2020-12-22,6,38.0,251.8724729899914
2020-12-24,3,31.0,205.47491217604562
2020-12-25,8,35.0,231.9878040697289
2020-12-27,3,44.0,291.64181083051636
2020-12-29,3,46.0,304.898256777358
2020-12-31,6,51.0,338.0393716444621
2021-01-01,15,47.0,311.52647975077883
2021-01-02,8,48.0,318.15470272419964
2021-01-03,8,53.0,351.2958175913038
2021-01-04,4,48.0,318.15470272419964
2021-01-05,4,54.0,357.9240405647246
2021-01-08,8,48.0,318.15470272419964
2021-01-09,1,43.0,285.01358785709556
2021-01-10,21,41.0,271.75714191025384
2021-01-11,2,40.0,265.12891893683303
2021-01-12,3,39.0,258.5006959634122
2021-01-13,2,43.0,285.01358785709556
2021-01-14,3,27.0,178.9620202823623
2021-01-15,7,26.0,172.33379730894148
2021-01-16,5,24.0,159.07735136209982
2021-01-17,5,23.0,152.449128388679
2021-01-18,1,23.0,152.449128388679
2021-01-19,1,16.0,106.05156757473321
2021-01-20,1,13.0,86.16689865447074
2021-01-21,3,10.0,66.28222973420826
2021-01-22,0,12.0,79.53867568104991
2021-01-23,2,13.0,86.16689865447074
2021-01-24,2,14.0,92.79512162789156
2021-01-25,3,14.0,92.79512162789156
2021-01-26,2,17.0,112.67979054815403
2021-01-27,2,15.0,99.4233446013124
2021-01-28,3,15.0,99.4233446013124
2021-01-29,3,13.0,86.16689865447074
2021-01-30,0,15.0,99.4233446013124
2021-01-31,2,14.0,92.79512162789156
2021-02-01,1,11.0,72.91045270762909
2021-02-02,4,10.0,66.28222973420826
2021-02-03,1,12.0,79.53867568104991
2021-02-04,0,16.0,106.05156757473321
2021-02-05,2,17.0,112.67979054815403
2021-02-06,2,13.0,86.16689865447074
2021-02-07,6,12.0,79.53867568104991
2021-02-08,2,15.0,99.4233446013124
2021-02-09,0,18.0,119.30801352157488
2021-02-10,0,19.0,125.9362364949957
2021-02-11,3,14.0,92.79512162789156
2021-02-12,5,18.0,119.30801352157488
2021-02-13,3,21.0,139.19268244183732
2021-02-14,1,22.0,145.82090541525818
2021-02-15,6,27.0,178.9620202823623
2021-02-16,3,29.0,192.21846622920395
2021-02-17,1,36.0,238.61602704314976
2021-02-18,8,39.0,258.5006959634122
2021-02-19,7,43.0,285.01358785709556
2021-02-20,10,48.0,318.15470272419964
2021-02-21,4,50.0,331.4111486710413
2021-02-22,10,56.0,371.18048651156624
2021-02-23,8,66.0,437.4627162457745
2021-02-24,3,72.0,477.2320540862995
2021-02-25,14,78.0,517.0013919268245
2021-02-26,17,102.0,676.0787432889242
2021-02-27,16,100.0,662.8222973420826
2021-02-28,10,,
2021-03-01,34,,
2021-03-02,6,,
