,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,1,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,1.0,12.153621779290228
2020-09-08,0,0.0,0.0
2020-09-09,0,0.0,0.0
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,1,1.0,12.153621779290228
2020-09-16,0,1.0,12.153621779290228
2020-09-17,0,1.0,12.153621779290228
2020-09-18,0,1.0,12.153621779290228
2020-09-19,0,1.0,12.153621779290228
2020-09-20,0,1.0,12.153621779290228
2020-09-21,0,1.0,12.153621779290228
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-08,1,1.0,12.153621779290228
2020-10-09,0,1.0,12.153621779290228
2020-10-10,0,1.0,12.153621779290228
2020-10-11,1,2.0,24.307243558580456
2020-10-12,0,2.0,24.307243558580456
2020-10-13,0,2.0,24.307243558580456
2020-10-14,0,2.0,24.307243558580456
2020-10-15,0,1.0,12.153621779290228
2020-10-16,0,1.0,12.153621779290228
2020-10-17,0,1.0,12.153621779290228
2020-10-18,2,2.0,24.307243558580456
2020-10-19,1,3.0,36.460865337870686
2020-10-20,0,3.0,36.460865337870686
2020-10-21,1,4.0,48.61448711716091
2020-10-22,1,5.0,60.768108896451146
2020-10-23,0,5.0,60.768108896451146
