,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,1.0,6.598046978094485
2020-10-05,0,1.0,6.598046978094485
2020-10-06,0,2.0,13.19609395618897
2020-10-07,1,2.0,13.19609395618897
2020-10-09,0,4.0,26.39218791237794
2020-10-10,1,7.0,46.18632884666139
2020-10-11,0,10.0,65.98046978094484
2020-10-12,2,11.0,72.57851675903932
2020-10-14,3,12.0,79.1765637371338
2020-10-15,3,12.0,79.1765637371338
2020-10-16,2,15.0,98.97070467141725
2020-10-17,1,19.0,125.3628925837952
2020-10-19,1,23.0,151.75508049617312
2020-10-26,3,27.0,178.14726840855107
2020-11-02,6,34.0,224.33359725521248
2020-11-04,7,36.0,237.52969121140143
2020-11-09,7,58.0,382.6867247294801
2020-11-10,9,65.0,428.87305357614144
2020-11-16,3,80.0,527.8437582475588
2020-11-17,23,86.0,567.4320401161256
2020-11-18,10,82.0,541.0398522037477
2020-11-19,21,87.0,574.0300870942201
2020-11-20,13,103.0,679.5988387437319
2020-11-21,3,96.0,633.4125098970704
2020-11-22,14,94.0,620.2164159408815
2020-11-23,19,89.0,587.2261810504091
2020-11-24,16,86.0,567.4320401161256
2020-11-25,8,101.0,666.4027447875429
2020-11-27,16,89.0,587.2261810504091
2020-11-28,10,75.0,494.85352335708626
2020-11-29,18,64.0,422.275006598047
2020-11-30,2,65.0,428.87305357614144
2020-12-01,5,61.0,402.48086566376355
2020-12-02,5,63.0,415.67695961995247
2020-12-03,9,61.0,402.48086566376355
2020-12-04,12,67.0,442.0691475323304
2020-12-05,12,62.0,409.07891264185804
2020-12-07,16,63.0,415.67695961995247
2020-12-08,8,59.0,389.2847717075746
2020-12-09,0,58.0,382.6867247294801
2020-12-10,6,58.0,382.6867247294801
2020-12-11,5,47.0,310.10820797044073
2020-12-12,11,46.0,303.51016099234624
2020-12-13,12,52.0,343.09844286091317
2020-12-14,5,59.0,389.2847717075746
2020-12-15,7,61.0,402.48086566376355
2020-12-16,6,56.0,369.4906307732911
2020-12-17,13,47.0,310.10820797044073
2020-12-18,7,52.0,343.09844286091317
2020-12-19,6,46.0,303.51016099234624
2020-12-20,3,43.0,283.7160200580628
2020-12-21,10,34.0,224.33359725521248
2020-12-22,1,42.0,277.11797307996835
2020-12-23,3,41.0,270.51992610187386
2020-12-24,4,38.0,250.7257851675904
2020-12-25,15,29.0,191.34336236474005
2020-12-27,5,36.0,237.52969121140143
2020-12-29,0,41.0,270.51992610187386
2020-12-30,1,40.0,263.9218791237794
2020-12-31,8,31.0,204.53945632092902
2021-01-01,8,31.0,204.53945632092902
2021-01-02,3,36.0,237.52969121140143
2021-01-03,6,54.0,356.29453681710214
2021-01-04,5,47.0,310.10820797044073
2021-01-05,5,48.0,316.7062549485352
2021-01-08,19,58.0,382.6867247294801
2021-01-09,1,59.0,389.2847717075746
2021-01-10,9,55.0,362.89258379519663
2021-01-11,13,59.0,389.2847717075746
2021-01-12,7,47.0,310.10820797044073
2021-01-13,1,47.0,310.10820797044073
2021-01-14,9,40.0,263.9218791237794
2021-01-15,7,31.0,204.53945632092902
2021-01-16,1,28.0,184.74531538664556
2021-01-17,2,32.0,211.1375032990235
2021-01-18,4,25.0,164.9511744523621
2021-01-19,4,19.0,125.3628925837952
2021-01-20,5,21.0,138.55898653998418
2021-01-21,2,23.0,151.75508049617312
2021-01-22,1,23.0,151.75508049617312
2021-01-23,3,22.0,145.15703351807863
2021-01-24,4,18.0,118.76484560570071
2021-01-25,4,19.0,125.3628925837952
2021-01-26,3,24.0,158.3531274742676
2021-01-27,1,23.0,151.75508049617312
2021-01-28,3,26.0,171.54922143045658
2021-01-29,6,24.0,158.3531274742676
2021-01-30,2,24.0,158.3531274742676
2021-01-31,7,25.0,164.9511744523621
2021-02-01,2,28.0,184.74531538664556
2021-02-02,3,24.0,158.3531274742676
2021-02-03,2,24.0,158.3531274742676
2021-02-04,6,19.0,125.3628925837952
2021-02-05,2,22.0,145.15703351807863
2021-02-06,2,28.0,184.74531538664556
2021-02-07,2,27.0,178.14726840855107
2021-02-08,5,23.0,151.75508049617312
2021-02-09,9,28.0,184.74531538664556
2021-02-10,1,29.0,191.34336236474005
2021-02-11,2,31.0,204.53945632092902
2021-02-12,7,32.0,211.1375032990235
2021-02-13,3,32.0,211.1375032990235
2021-02-14,4,31.0,204.53945632092902
2021-02-15,6,31.0,204.53945632092902
2021-02-16,9,38.0,250.7257851675904
2021-02-17,0,40.0,263.9218791237794
2021-02-18,2,39.0,257.3238321456849
2021-02-19,14,35.0,230.93164423330694
2021-02-20,5,36.0,237.52969121140143
2021-02-21,3,36.0,237.52969121140143
2021-02-22,2,34.0,224.33359725521248
2021-02-23,10,34.0,224.33359725521248
2021-02-24,0,34.0,224.33359725521248
2021-02-25,0,32.0,211.1375032990235
2021-02-26,14,34.0,224.33359725521248
2021-02-27,5,31.0,204.53945632092902
2021-02-28,1,,
2021-03-01,4,,
2021-03-02,7,,
