,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,2,,
2020-09-03,3,,
2020-09-04,1,,
2020-09-05,5,,
2020-09-06,1,,
2020-09-07,0,12.0,34.91823313740325
2020-09-08,0,12.0,34.91823313740325
2020-09-09,0,10.0,29.098527614502704
2020-09-10,1,8.0,23.278822091602162
2020-09-11,1,8.0,23.278822091602162
2020-09-12,0,3.0,8.729558284350812
2020-09-13,0,2.0,5.8197055229005406
2020-09-14,1,3.0,8.729558284350812
2020-09-15,0,3.0,8.729558284350812
2020-09-16,0,3.0,8.729558284350812
2020-09-17,0,2.0,5.8197055229005406
2020-09-18,0,1.0,2.9098527614502703
2020-09-19,0,1.0,2.9098527614502703
2020-09-20,0,1.0,2.9098527614502703
2020-09-21,1,1.0,2.9098527614502703
2020-09-22,0,1.0,2.9098527614502703
2020-09-23,0,1.0,2.9098527614502703
2020-09-24,0,1.0,2.9098527614502703
2020-09-25,0,1.0,2.9098527614502703
2020-09-26,1,2.0,5.8197055229005406
2020-09-27,0,2.0,5.8197055229005406
2020-09-28,0,1.0,2.9098527614502703
2020-09-29,1,2.0,5.8197055229005406
2020-09-30,0,2.0,5.8197055229005406
2020-10-01,0,2.0,5.8197055229005406
2020-10-02,2,4.0,11.639411045801081
2020-10-03,1,4.0,11.639411045801081
2020-10-04,0,4.0,11.639411045801081
2020-10-05,1,5.0,14.549263807251352
2020-10-06,2,6.0,17.459116568701624
2020-10-07,1,7.0,20.36896933015189
2020-10-08,0,7.0,20.36896933015189
2020-10-09,2,7.0,20.36896933015189
2020-10-10,3,9.0,26.188674853052436
2020-10-11,2,11.0,32.008380375952974
2020-10-12,0,10.0,29.098527614502704
2020-10-13,0,8.0,23.278822091602162
2020-10-14,5,12.0,34.91823313740325
2020-10-15,0,12.0,34.91823313740325
2020-10-16,3,13.0,37.828085898853516
2020-10-17,2,12.0,34.91823313740325
2020-10-18,5,15.0,43.64779142175406
2020-10-19,1,16.0,46.557644183204324
2020-10-20,2,18.0,52.37734970610487
2020-10-21,4,17.0,49.4674969446546
2020-10-22,5,22.0,64.01676075190595
2020-10-23,0,19.0,55.28720246755515
2020-10-24,3,20.0,58.19705522900541
2020-10-25,16,31.0,90.2054356049584
2020-10-26,10,40.0,116.39411045801081
2020-10-27,9,47.0,136.7630797881627
2020-10-28,9,52.0,151.31234359541406
2020-10-29,13,60.0,174.59116568701623
2020-10-30,21,81.0,235.6980736774719
2020-10-31,9,87.0,253.15719024617354
2020-11-01,8,79.0,229.8783681545714
2020-11-02,17,86.0,250.24733748472326
2020-11-03,17,94.0,273.5261595763254
2020-11-04,20,105.0,305.5345399522784
2020-11-05,7,99.0,288.0754233835768
2020-11-06,29,107.0,311.35424547517897
2020-11-07,18,116.0,337.5429203282314
2020-11-08,36,144.0,419.018797648839
2020-11-09,24,151.0,439.38776697899084
2020-11-10,19,153.0,445.2074725018914
2020-11-11,18,151.0,439.38776697899084
2020-11-12,41,185.0,538.3227608683001
2020-11-13,32,188.0,547.0523191526509
2020-11-14,21,191.0,555.7818774370016
2020-11-15,41,196.0,570.3311412442531
2020-11-16,33,205.0,596.5198160973055
2020-11-17,16,202.0,587.7902578129547
2020-11-18,18,202.0,587.7902578129547
2020-11-19,24,185.0,538.3227608683001
2020-11-20,45,198.0,576.1508467671536
2020-11-21,23,200.0,581.9705522900541
2020-11-22,32,191.0,555.7818774370016
2020-11-23,19,177.0,515.0439387766979
2020-11-24,17,178.0,517.9537915381483
2020-11-25,11,171.0,497.58482220799624
2020-11-26,6,153.0,445.2074725018914
2020-11-27,13,121.0,352.09218413548274
2020-11-28,15,113.0,328.8133620438806
2020-11-29,11,92.0,267.7064540534249
2020-11-30,27,100.0,290.98527614502706
2020-12-01,9,92.0,267.7064540534249
2020-12-02,4,85.0,247.337484723273
2020-12-03,16,95.0,276.4360123377757
2020-12-04,37,119.0,346.2724786125822
2020-12-05,14,118.0,343.36262585113195
2020-12-06,17,124.0,360.8217424198336
2020-12-07,20,117.0,340.45277308968167
2020-12-08,9,117.0,340.45277308968167
2020-12-09,2,115.0,334.63306756678116
2020-12-10,15,114.0,331.7232148053309
2020-12-11,8,85.0,247.337484723273
