,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-26,0,2.0,107.46910263299303
2020-11-02,0,2.0,107.46910263299303
2020-11-09,0,3.0,161.20365394948954
2020-11-10,2,3.0,161.20365394948954
2020-11-16,0,3.0,161.20365394948954
2020-11-17,1,4.0,214.93820526598606
2020-11-18,0,5.0,268.6727565824825
2020-11-19,0,3.0,161.20365394948954
2020-11-20,1,4.0,214.93820526598606
2020-11-21,1,4.0,214.93820526598606
2020-11-22,0,4.0,214.93820526598606
2020-11-23,1,4.0,214.93820526598606
2020-11-24,1,4.0,214.93820526598606
2020-11-25,0,3.0,161.20365394948954
2020-11-27,0,3.0,161.20365394948954
2020-11-28,1,2.0,107.46910263299303
2020-11-29,0,1.0,53.734551316496514
2020-11-30,0,1.0,53.734551316496514
2020-12-01,0,1.0,53.734551316496514
2020-12-02,0,0.0,0.0
2020-12-05,0,0.0,0.0
2020-12-07,0,0.0,0.0
2020-12-11,0,0.0,0.0
2020-12-12,0,0.0,0.0
2020-12-13,0,0.0,0.0
2020-12-15,0,0.0,0.0
2020-12-16,0,0.0,0.0
2020-12-17,0,1.0,53.734551316496514
2020-12-18,0,1.0,53.734551316496514
2020-12-19,0,1.0,53.734551316496514
2020-12-20,1,2.0,107.46910263299303
2020-12-22,0,2.0,107.46910263299303
2020-12-24,0,3.0,161.20365394948954
2020-12-25,1,5.0,268.6727565824825
2020-12-27,0,4.0,214.93820526598606
2020-12-29,1,6.0,322.40730789897907
2020-12-31,2,6.0,322.40730789897907
2021-01-01,0,6.0,322.40730789897907
2021-01-02,2,8.0,429.8764105319721
2021-01-03,0,8.0,429.8764105319721
2021-01-04,1,10.0,537.345513164965
2021-01-05,2,11.0,591.0800644814616
2021-01-08,1,17.0,913.4873723804407
2021-01-09,4,17.0,913.4873723804407
2021-01-10,1,16.0,859.7528210639442
2021-01-11,8,14.0,752.2837184309511
2021-01-12,0,15.0,806.0182697474477
2021-01-13,0,11.0,591.0800644814616
2021-01-14,0,12.0,644.8146157979581
2021-01-15,2,5.0,268.6727565824825
2021-01-16,0,6.0,322.40730789897907
2021-01-17,2,7.0,376.14185921547556
2021-01-18,1,12.0,644.8146157979581
2021-01-19,1,12.0,644.8146157979581
2021-01-20,1,12.0,644.8146157979581
2021-01-21,5,10.0,537.345513164965
2021-01-22,2,9.0,483.61096184846855
2021-01-23,0,9.0,483.61096184846855
2021-01-24,0,8.0,429.8764105319721
2021-01-25,0,3.0,161.20365394948954
2021-01-26,1,1.0,53.734551316496514
2021-01-27,0,1.0,53.734551316496514
2021-01-28,0,1.0,53.734551316496514
2021-01-29,0,1.0,53.734551316496514
2021-01-30,0,0.0,0.0
2021-01-31,0,0.0,0.0
2021-02-01,0,0.0,0.0
2021-02-02,0,0.0,0.0
2021-02-03,0,0.0,0.0
2021-02-04,0,0.0,0.0
2021-02-05,0,0.0,0.0
2021-02-06,0,0.0,0.0
2021-02-07,0,0.0,0.0
2021-02-09,0,0.0,0.0
2021-02-10,0,0.0,0.0
2021-02-11,0,0.0,0.0
2021-02-12,0,0.0,0.0
2021-02-13,0,0.0,0.0
2021-02-14,0,0.0,0.0
2021-02-15,0,0.0,0.0
2021-02-16,0,0.0,0.0
2021-02-17,0,0.0,0.0
2021-02-18,0,0.0,0.0
2021-02-19,0,0.0,0.0
2021-02-20,0,1.0,53.734551316496514
2021-02-21,0,1.0,53.734551316496514
2021-02-22,0,1.0,53.734551316496514
2021-02-23,1,1.0,53.734551316496514
2021-02-24,0,1.0,53.734551316496514
2021-02-25,0,1.0,53.734551316496514
2021-02-26,0,1.0,53.734551316496514
2021-02-27,0,,
2021-02-28,0,,
2021-03-01,0,,
