,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,0.0,0.0
2020-09-08,0,0.0,0.0
2020-09-09,0,0.0,0.0
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,0,0.0,0.0
2020-09-16,0,0.0,0.0
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-08,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-13,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-18,0,0.0,0.0
2020-10-19,0,0.0,0.0
2020-10-20,0,0.0,0.0
2020-10-21,0,0.0,0.0
2020-10-22,2,2.0,50.8646998982706
2020-10-23,16,18.0,457.7822990844354
2020-10-24,2,20.0,508.646998982706
2020-10-25,1,21.0,534.0793489318413
2020-10-26,2,23.0,584.9440488301119
2020-10-27,2,25.0,635.8087487283825
2020-10-28,3,28.0,712.1057985757884
2020-10-29,1,27.0,686.6734486266531
2020-10-30,1,12.0,305.1881993896236
2020-10-31,1,11.0,279.7558494404883
2020-11-01,0,10.0,254.323499491353
2020-11-02,4,12.0,305.1881993896236
2020-11-03,2,12.0,305.1881993896236
2020-11-04,9,18.0,457.7822990844354
2020-11-05,13,30.0,762.970498474059
2020-11-06,1,30.0,762.970498474059
2020-11-07,1,30.0,762.970498474059
2020-11-08,2,32.0,813.8351983723296
2020-11-09,4,32.0,813.8351983723296
2020-11-10,7,37.0,940.9969481180062
2020-11-11,4,32.0,813.8351983723296
2020-11-12,2,21.0,534.0793489318413
2020-11-13,3,23.0,584.9440488301119
2020-11-14,2,24.0,610.3763987792472
2020-11-15,5,27.0,686.6734486266531
2020-11-16,4,27.0,686.6734486266531
