,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,1,,
2020-09-15,0,,
2020-09-20,1,2.0,11.383687176276396
2020-09-21,0,2.0,11.383687176276396
2020-09-23,0,1.0,5.691843588138198
2020-09-26,0,2.0,11.383687176276396
2020-09-27,0,3.0,17.075530764414594
2020-09-28,0,3.0,17.075530764414594
2020-10-02,1,6.0,34.15106152882919
2020-10-03,2,6.0,34.15106152882919
2020-10-04,0,6.0,34.15106152882919
2020-10-05,3,6.0,34.15106152882919
2020-10-06,0,5.0,28.45921794069099
2020-10-07,0,3.0,17.075530764414594
2020-10-09,0,4.0,22.767374352552793
2020-10-10,0,1.0,5.691843588138198
2020-10-11,0,1.0,5.691843588138198
2020-10-12,1,1.0,5.691843588138198
2020-10-14,0,4.0,22.767374352552793
2020-10-15,0,4.0,22.767374352552793
2020-10-16,0,8.0,45.534748705105585
2020-10-17,3,17.0,96.76134099834937
2020-10-19,0,31.0,176.44715123228414
2020-10-26,4,44.0,250.44111787808072
2020-11-02,10,54.0,307.3595537594627
2020-11-04,14,66.0,375.6616768171211
2020-11-09,13,79.0,449.6556434629176
2020-11-10,10,83.0,472.4230178154704
2020-11-16,15,84.0,478.11486140360864
2020-11-17,13,80.0,455.34748705105585
2020-11-18,8,74.0,421.19642552222666
2020-11-19,11,84.0,478.11486140360864
2020-11-20,10,79.0,449.6556434629176
2020-11-21,7,71.0,404.12089475781204
2020-11-22,20,73.0,415.5045819340885
2020-11-23,10,68.0,387.0453639933975
2020-11-24,5,69.0,392.7372075815357
2020-11-25,10,65.0,369.9698332289829
2020-11-27,6,53.0,301.6677101713245
2020-11-28,11,48.0,273.2084922306335
2020-11-29,3,45.0,256.1329614662189
2020-11-30,8,44.0,250.44111787808072
2020-12-01,5,55.0,313.05139734760087
2020-12-02,2,64.0,364.2779896408447
2020-12-03,9,67.0,381.3535204052593
2020-12-04,17,64.0,364.2779896408447
2020-12-05,20,60.0,341.5106152882919
2020-12-07,6,64.0,364.2779896408447
2020-12-08,5,56.0,318.7432409357391
2020-12-09,1,46.0,261.8248050543571
2020-12-10,6,30.0,170.75530764414594
2020-12-11,1,30.0,170.75530764414594
2020-12-12,7,29.0,165.06346405600775
2020-12-13,4,28.0,159.37162046786955
2020-12-14,6,32.0,182.13899482042234
2020-12-15,4,33.0,187.83083840856054
2020-12-16,0,30.0,170.75530764414594
2020-12-17,10,28.0,159.37162046786955
2020-12-18,2,24.0,136.60424611531676
2020-12-19,4,21.0,119.52871535090216
2020-12-20,2,27.0,153.67977687973135
2020-12-21,2,22.0,125.22055893904036
2020-12-22,1,22.0,125.22055893904036
2020-12-23,6,22.0,125.22055893904036
2020-12-24,5,22.0,125.22055893904036
2020-12-25,2,24.0,136.60424611531676
2020-12-27,4,39.0,221.98189993738973
2020-12-29,2,41.0,233.3655871136661
2020-12-30,4,42.0,239.05743070180432
2020-12-31,16,42.0,239.05743070180432
2021-01-01,8,43.0,244.7492742899425
2021-01-02,6,47.0,267.5166486424953
2021-01-03,2,44.0,250.44111787808072
2021-01-04,5,44.0,250.44111787808072
2021-01-05,6,42.0,239.05743070180432
2021-01-08,1,47.0,267.5166486424953
2021-01-09,16,48.0,273.2084922306335
2021-01-10,6,49.0,278.9003358187717
2021-01-11,11,51.0,290.2840229950481
2021-01-12,3,59.0,335.81877170015366
2021-01-13,6,52.0,295.9758665831863
2021-01-14,8,55.0,313.05139734760087
2021-01-15,9,50.0,284.5921794069099
2021-01-16,9,52.0,295.9758665831863
2021-01-17,9,52.0,295.9758665831863
2021-01-18,6,50.0,284.5921794069099
2021-01-19,5,46.0,261.8248050543571
2021-01-20,6,41.0,233.3655871136661
2021-01-21,6,32.0,182.13899482042234
2021-01-22,5,31.0,176.44715123228414
2021-01-23,4,28.0,159.37162046786955
2021-01-24,0,26.0,147.98793329159315
2021-01-25,5,24.0,136.60424611531676
2021-01-26,2,21.0,119.52871535090216
2021-01-27,4,23.0,130.91240252717856
2021-01-28,4,26.0,147.98793329159315
2021-01-29,2,26.0,147.98793329159315
2021-01-30,6,25.0,142.29608970345495
2021-01-31,3,24.0,136.60424611531676
2021-02-01,5,26.0,147.98793329159315
2021-02-02,1,27.0,153.67977687973135
2021-02-03,3,24.0,136.60424611531676
2021-02-04,6,25.0,142.29608970345495
2021-02-05,3,26.0,147.98793329159315
2021-02-06,3,28.0,159.37162046786955
2021-02-07,4,31.0,176.44715123228414
2021-02-08,6,30.0,170.75530764414594
2021-02-09,3,36.0,204.90636917297513
2021-02-10,6,42.0,239.05743070180432
2021-02-11,5,39.0,221.98189993738973
2021-02-12,9,39.0,221.98189993738973
2021-02-13,9,46.0,261.8248050543571
2021-02-14,1,40.0,227.67374352552793
2021-02-15,6,41.0,233.3655871136661
2021-02-16,10,38.0,216.29005634925153
2021-02-17,0,32.0,182.13899482042234
2021-02-18,6,38.0,216.29005634925153
2021-02-19,6,44.0,250.44111787808072
2021-02-20,3,42.0,239.05743070180432
2021-02-21,7,50.0,284.5921794069099
2021-02-22,12,58.0,330.1269281120155
2021-02-23,8,64.0,364.2779896408447
2021-02-24,8,78.0,443.96379987477945
2021-02-25,14,78.0,443.96379987477945
2021-02-26,12,73.0,415.5045819340885
2021-02-27,17,76.0,432.58011269850306
2021-02-28,7,,
2021-03-01,7,,
2021-03-02,11,,
