,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,0.0,0.0
2020-09-08,0,0.0,0.0
2020-09-09,0,0.0,0.0
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,0,0.0,0.0
2020-09-16,0,0.0,0.0
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,2,2.0,37.878787878787875
2020-09-30,0,2.0,37.878787878787875
2020-10-01,0,2.0,37.878787878787875
2020-10-02,0,2.0,37.878787878787875
2020-10-03,0,2.0,37.878787878787875
2020-10-04,0,2.0,37.878787878787875
2020-10-05,0,2.0,37.878787878787875
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-08,0,0.0,0.0
2020-10-09,1,1.0,18.939393939393938
2020-10-10,0,1.0,18.939393939393938
2020-10-11,0,1.0,18.939393939393938
2020-10-12,0,1.0,18.939393939393938
2020-10-13,0,1.0,18.939393939393938
2020-10-14,2,3.0,56.81818181818181
2020-10-15,0,3.0,56.81818181818181
2020-10-16,0,2.0,37.878787878787875
2020-10-17,0,2.0,37.878787878787875
2020-10-18,0,2.0,37.878787878787875
2020-10-19,0,2.0,37.878787878787875
2020-10-20,1,3.0,56.81818181818181
2020-10-21,2,3.0,56.81818181818181
2020-10-22,1,4.0,75.75757575757575
2020-10-23,0,4.0,75.75757575757575
2020-10-24,2,6.0,113.63636363636363
2020-10-25,0,6.0,113.63636363636363
2020-10-26,0,6.0,113.63636363636363
2020-10-27,9,14.0,265.1515151515152
2020-10-28,1,13.0,246.2121212121212
2020-10-29,0,12.0,227.27272727272725
2020-10-30,1,13.0,246.2121212121212
2020-10-31,7,18.0,340.9090909090909
2020-11-01,0,18.0,340.9090909090909
2020-11-02,2,20.0,378.7878787878788
2020-11-03,4,15.0,284.0909090909091
2020-11-04,2,16.0,303.030303030303
2020-11-05,2,18.0,340.9090909090909
2020-11-06,0,17.0,321.96969696969694
2020-11-07,1,11.0,208.33333333333334
2020-11-08,2,13.0,246.2121212121212
2020-11-09,6,17.0,321.96969696969694
2020-11-10,5,18.0,340.9090909090909
2020-11-11,7,23.0,435.6060606060606
2020-11-12,4,25.0,473.4848484848485
