,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,1.0,16.02307322544464
2020-09-28,0,1.0,16.02307322544464
2020-10-02,0,1.0,16.02307322544464
2020-10-03,1,1.0,16.02307322544464
2020-10-04,0,1.0,16.02307322544464
2020-10-05,0,1.0,16.02307322544464
2020-10-06,0,1.0,16.02307322544464
2020-10-07,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,1.0,16.02307322544464
2020-10-16,0,1.0,16.02307322544464
2020-10-17,0,3.0,48.06921967633392
2020-10-19,1,5.0,80.11536612722321
2020-10-26,0,11.0,176.25380547989104
2020-11-01,2,14.0,224.32302515622496
2020-11-02,2,16.0,256.36917160711425
2020-11-03,6,19.0,304.43839128344814
2020-11-04,3,21.0,336.48453773433744
2020-11-06,2,24.0,384.5537574106714
2020-11-07,4,23.0,368.53068418522673
2020-11-08,2,23.0,368.53068418522673
2020-11-09,5,21.0,336.48453773433744
2020-11-10,1,21.0,336.48453773433744
2020-11-11,6,19.0,304.43839128344814
2020-11-12,1,23.0,368.53068418522673
2020-11-13,2,19.0,304.43839128344814
2020-11-14,2,18.0,288.41531805800355
2020-11-15,6,13.0,208.2999519307803
2020-11-16,1,14.0,224.32302515622496
2020-11-17,0,16.0,256.36917160711425
2020-11-18,1,14.0,224.32302515622496
2020-11-19,2,8.0,128.18458580355713
2020-11-20,4,12.0,192.2768787053357
2020-11-21,0,14.0,224.32302515622496
2020-11-22,0,14.0,224.32302515622496
2020-11-23,5,12.0,192.2768787053357
2020-11-24,2,8.0,128.18458580355713
2020-11-25,1,8.0,128.18458580355713
2020-11-26,0,8.0,128.18458580355713
2020-11-27,0,5.0,80.11536612722321
2020-11-28,0,4.0,64.09229290177856
2020-11-29,0,4.0,64.09229290177856
2020-11-30,2,4.0,64.09229290177856
2020-12-01,1,5.0,80.11536612722321
2020-12-02,1,7.0,112.16151257811248
2020-12-03,0,7.0,112.16151257811248
2020-12-04,1,6.0,96.13843935266785
2020-12-05,2,6.0,96.13843935266785
2020-12-06,0,5.0,80.11536612722321
