,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,1,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,1.0,4.145593234391842
2020-09-21,0,0.0,0.0
2020-09-23,0,4.0,16.582372937567367
2020-09-26,0,4.0,16.582372937567367
2020-09-27,0,4.0,16.582372937567367
2020-10-03,4,7.0,29.01915264074289
2020-10-04,0,7.0,29.01915264074289
2020-10-06,0,7.0,29.01915264074289
2020-10-07,3,8.0,33.164745875134734
2020-10-11,0,4.0,16.582372937567367
2020-10-12,0,6.0,24.87355940635105
2020-10-14,1,7.0,29.01915264074289
2020-10-15,0,6.0,24.87355940635105
2020-10-16,2,12.0,49.7471188127021
2020-10-17,1,18.0,74.62067821905315
2020-10-26,2,29.0,120.22220379736339
2020-11-02,6,37.0,153.38694967249813
2020-11-09,6,52.0,215.57084818837575
2020-11-10,12,56.0,232.15322112594313
2020-11-16,8,70.0,290.1915264074289
2020-11-17,17,90.0,373.10339109526575
2020-11-18,5,97.0,402.12254373600865
2020-11-19,16,92.0,381.3945775640494
2020-11-20,26,103.0,426.99610314235963
2020-11-21,13,100.0,414.55932343918414
2020-11-22,7,99.0,410.41373020479233
2020-11-23,19,95.0,393.831357267225
2020-11-24,14,83.0,344.08423845452285
2020-11-25,4,84.0,348.22983168891466
2020-11-27,12,108.0,447.7240693143189
2020-11-28,14,104.0,431.1416963767515
2020-11-29,14,100.0,414.55932343918414
2020-11-30,31,109.0,451.8696625487107
2020-12-01,15,109.0,451.8696625487107
2020-12-02,10,98.0,406.26813697040046
2020-12-05,13,96.0,397.9769505016168
2020-12-07,12,87.0,360.6666113920902
2020-12-11,3,81.0,335.79305198573917
2020-12-12,12,77.0,319.2106790481718
2020-12-13,22,70.0,290.1915264074289
2020-12-15,9,68.0,281.90033993864523
2020-12-16,6,78.0,323.3562722825636
2020-12-17,6,70.0,290.1915264074289
2020-12-18,10,52.0,215.57084818837575
2020-12-19,13,55.0,228.0076278915513
2020-12-20,4,65.0,269.4635602354697
2020-12-22,4,75.0,310.91949257938813
2020-12-24,12,70.0,290.1915264074289
2020-12-25,16,66.0,273.6091534698615
2020-12-27,16,83.0,344.08423845452285
2020-12-29,5,98.0,406.26813697040046
2020-12-31,9,92.0,381.3945775640494
2021-01-01,21,85.0,352.3754249233065
2021-01-02,19,75.0,310.91949257938813
2021-01-03,6,86.0,356.52101815769834
2021-01-04,9,78.0,323.3562722825636
2021-01-05,6,68.0,281.90033993864523
2021-01-08,16,55.0,228.0076278915513
2021-01-09,1,64.0,265.3179670010779
2021-01-10,11,57.0,236.29881436033497
2021-01-11,6,60.0,248.73559406351052
2021-01-12,15,50.0,207.27966171959207
2021-01-13,2,54.0,223.86203465715946
2021-01-14,9,50.0,207.27966171959207
2021-01-15,6,54.0,223.86203465715946
2021-01-16,5,50.0,207.27966171959207
2021-01-17,7,57.0,236.29881436033497
2021-01-18,10,50.0,207.27966171959207
2021-01-19,11,54.0,223.86203465715946
2021-01-20,9,52.0,215.57084818837575
2021-01-21,2,45.0,186.55169554763287
2021-01-22,10,42.0,174.11491584445733
2021-01-23,3,34.0,140.95016996932262
2021-01-24,0,25.0,103.63983085979604
2021-01-25,7,25.0,103.63983085979604
2021-01-26,3,24.0,99.4942376254042
2021-01-27,0,25.0,103.63983085979604
2021-01-28,2,26.0,107.78542409418787
2021-01-29,9,26.0,107.78542409418787
2021-01-30,4,27.0,111.93101732857973
2021-01-31,1,28.0,116.07661056297157
2021-02-01,7,29.0,120.22220379736339
2021-02-02,4,32.0,132.65898350053894
2021-02-03,1,40.0,165.82372937567365
2021-02-04,3,48.0,198.9884752508084
2021-02-05,12,44.0,182.40610231324104
2021-02-06,12,40.0,165.82372937567365
2021-02-07,9,52.0,215.57084818837575
2021-02-09,3,63.0,261.172373766686
2021-02-10,0,53.0,219.71644142276762
2021-02-11,13,48.0,198.9884752508084
2021-02-12,14,48.0,198.9884752508084
2021-02-13,2,53.0,219.71644142276762
2021-02-14,7,56.0,232.15322112594313
2021-02-15,9,44.0,182.40610231324104
2021-02-16,8,36.0,149.2413564381063
2021-02-17,3,38.0,157.53254290688997
2021-02-18,1,34.0,140.95016996932262
2021-02-19,6,34.0,140.95016996932262
2021-02-20,4,35.0,145.09576320371445
2021-02-21,3,34.0,140.95016996932262
2021-02-22,9,42.0,174.11491584445733
2021-02-23,9,44.0,182.40610231324104
2021-02-24,2,44.0,182.40610231324104
2021-02-25,9,43.0,178.26050907884917
2021-02-26,8,,
2021-02-27,4,,
2021-02-28,2,,
