,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,2,,
2020-09-14,3,,
2020-09-15,8,,
2020-09-20,7,33.0,17.459116568701624
2020-09-21,6,35.0,18.517244845592632
2020-09-23,4,33.0,17.459116568701624
2020-09-26,3,35.0,18.517244845592632
2020-09-27,4,39.0,20.633501399374648
2020-09-28,1,41.0,21.691629676265656
2020-10-02,10,47.0,24.86601450693868
2020-10-03,11,50.0,26.453206922275186
2020-10-04,8,60.0,31.74384830673023
2020-10-05,10,81.0,42.8541952140858
2020-10-06,6,91.0,48.14483659854084
2020-10-07,14,113.0,59.784247644341924
2020-10-09,22,137.0,72.48178696703403
2020-10-10,20,140.0,74.06897938237053
2020-10-11,33,176.0,93.11528836640865
2020-10-12,32,190.0,100.52218630464571
2020-10-14,13,205.0,108.45814838132827
2020-10-15,42,216.0,114.2778539042288
2020-10-16,28,245.0,129.62071391914841
2020-10-17,37,307.0,162.42269050276965
2020-10-19,31,466.0,246.54388851560472
2020-10-26,62,560.0,296.2759175294821
2020-11-02,94,732.0,387.27494934210875
2020-11-04,172,831.0,439.65229904821365
2020-11-09,136,937.0,495.733097723437
2020-11-10,200,1018.0,538.5872929375229
2020-11-16,136,1006.0,532.2385232761768
2020-11-17,137,1011.0,534.8838439684042
2020-11-18,143,1041.0,550.7557681217694
2020-11-19,82,957.0,506.3143804923471
2020-11-20,177,925.0,489.38432806209096
2020-11-21,166,919.0,486.2099432314179
2020-11-22,116,813.0,430.12914455619455
2020-11-23,104,874.0,462.4020570013702
2020-11-24,131,798.0,422.193182479512
2020-11-25,37,746.0,394.68184728034583
2020-11-27,143,753.0,398.3852962494643
2020-11-28,101,756.0,399.97248866480084
2020-11-29,114,666.0,352.3567162047055
2020-11-30,123,680.0,359.7636141429426
2020-12-01,107,665.0,351.82765206626
2020-12-02,41,678.0,358.70548586605156
2020-12-03,51,676.0,357.64735758916055
2020-12-04,128,660.0,349.18233137403246
2020-12-05,114,583.0,308.4443927137287
2020-12-07,112,607.0,321.14193203642077
2020-12-08,107,582.0,307.9153285752832
2020-12-09,30,552.0,292.04340442191807
2020-12-10,65,551.0,291.51434028347256
2020-12-11,26,559.0,295.7468533910366
2020-12-12,98,526.0,278.287736822335
2020-12-13,113,536.0,283.57837820679003
2020-12-14,120,531.0,280.93305751456245
2020-12-15,74,604.0,319.55473962108425
2020-12-16,40,582.0,307.9153285752832
2020-12-17,60,533.0,281.9911857914535
2020-12-18,99,480.0,253.95078645384183
2020-12-19,76,453.0,239.66605471581317
2020-12-20,64,441.0,233.31728505446716
2020-12-21,67,459.0,242.8404395464862
2020-12-22,47,477.0,252.3635940385053
2020-12-23,28,474.0,250.7764016231688
2020-12-24,78,451.0,238.6079264389222
2020-12-25,117,470.0,248.66014506938677
2020-12-27,73,492.0,260.29955611518784
2020-12-29,41,578.0,305.79907202150116
2020-12-30,86,598.0,316.3803547904112
2020-12-31,69,575.0,304.21187960616464
2021-01-01,114,548.0,289.9271478681361
2021-01-02,98,562.0,297.3340458063731
2021-01-03,94,587.0,310.5606492675107
2021-01-04,46,575.0,304.21187960616464
2021-01-05,55,571.0,302.0956230523827
2021-01-08,111,620.0,328.01976583621234
2021-01-09,57,551.0,291.51434028347256
2021-01-10,110,519.0,274.58428785321644
2021-01-11,147,576.0,304.74094374461015
2021-01-12,25,581.0,307.3862644368377
2021-01-13,14,593.0,313.7350340981837
2021-01-14,112,538.0,284.636506483681
2021-01-15,116,458.0,242.31137540804073
2021-01-16,69,462.0,244.42763196182273
2021-01-17,55,458.0,242.31137540804073
2021-01-18,67,396.0,209.5093988244195
2021-01-19,29,345.0,182.5271277636988
2021-01-20,10,310.0,164.00988291810617
2021-01-21,50,302.0,159.77736981054213
2021-01-22,65,286.0,151.31234359541406
2021-01-23,34,298.0,157.6611132567601
2021-01-24,47,307.0,162.42269050276965
2021-01-25,51,295.0,156.0739208414236
2021-01-26,41,294.0,155.5448567029781
2021-01-27,19,307.0,162.42269050276965
2021-01-28,38,355.0,187.81776914815381
2021-01-29,64,352.0,186.2305767328173
2021-01-30,47,357.0,188.87589742504485
2021-01-31,95,354.0,187.28870500970834
2021-02-01,48,374.0,197.8699877786184
2021-02-02,46,388.0,205.27688571685545
2021-02-03,16,419.0,221.67787400866607
2021-02-04,58,401.0,212.154719516647
2021-02-05,78,470.0,248.66014506938677
2021-02-06,78,455.0,240.72418299270421
2021-02-07,77,453.0,239.66605471581317
2021-02-08,117,480.0,253.95078645384183
2021-02-09,31,474.0,250.7764016231688
2021-02-10,14,488.0,258.1832995614058
2021-02-11,85,480.0,253.95078645384183
2021-02-12,72,426.0,225.3813229777846
2021-02-13,92,436.0,230.67196436223963
2021-02-14,69,443.0,234.37541333135815
2021-02-15,63,413.0,218.50348917799306
2021-02-16,41,399.0,211.096591239756
2021-02-17,21,373.0,197.34092364017292
2021-02-18,55,397.0,210.038462962865
2021-02-19,58,405.0,214.27097607042904
2021-02-20,66,407.0,215.32910434732003
2021-02-21,93,398.0,210.56752710131047
2021-02-22,71,438.0,231.73009263913065
2021-02-23,43,504.0,266.6483257765339
2021-02-24,12,550.0,290.98527614502706
2021-02-25,95,567.0,299.9793664986006
2021-02-26,124,615.0,325.3744451439848
2021-02-27,112,623.0,329.60695825154886
2021-02-28,110,,
2021-03-01,119,,
2021-03-02,51,,
