,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-26,0,0.0,0.0
2020-11-02,0,1.0,109.17030567685589
2020-11-04,0,2.0,218.34061135371178
2020-11-09,0,3.0,327.51091703056767
2020-11-10,1,19.0,2074.235807860262
2020-11-16,1,20.0,2183.406113537118
2020-11-17,1,22.0,2401.7467248908297
2020-11-18,16,24.0,2620.0873362445413
2020-11-19,1,24.0,2620.0873362445413
2020-11-20,2,23.0,2510.9170305676857
2020-11-21,2,22.0,2401.7467248908297
2020-11-22,1,6.0,655.0218340611353
2020-11-23,0,5.0,545.8515283842795
2020-11-24,0,4.0,436.68122270742356
2020-11-25,0,2.0,218.34061135371178
2020-11-27,0,3.0,327.51091703056767
2020-11-28,1,6.0,655.0218340611353
2020-11-29,0,6.0,655.0218340611353
2020-11-30,2,6.0,655.0218340611353
2020-12-01,3,8.0,873.3624454148471
2020-12-02,0,8.0,873.3624454148471
2020-12-03,0,9.0,982.5327510917031
2020-12-04,2,7.0,764.1921397379913
2020-12-05,1,4.0,436.68122270742356
2020-12-07,1,4.0,436.68122270742356
2020-12-08,0,4.0,436.68122270742356
2020-12-09,0,2.0,218.34061135371178
2020-12-10,0,2.0,218.34061135371178
2020-12-11,0,2.0,218.34061135371178
2020-12-12,0,2.0,218.34061135371178
2020-12-13,1,2.0,218.34061135371178
2020-12-14,1,2.0,218.34061135371178
2020-12-15,0,2.0,218.34061135371178
2020-12-16,0,2.0,218.34061135371178
2020-12-17,0,1.0,109.17030567685589
2020-12-18,0,0.0,0.0
2020-12-19,0,0.0,0.0
2020-12-20,0,0.0,0.0
2020-12-22,0,0.0,0.0
2020-12-23,0,2.0,218.34061135371178
2020-12-24,0,2.0,218.34061135371178
2020-12-25,0,2.0,218.34061135371178
2020-12-27,2,5.0,545.8515283842795
2020-12-29,0,9.0,982.5327510917031
2020-12-30,0,10.0,1091.703056768559
2020-12-31,3,11.0,1200.8733624454148
2021-01-01,4,9.0,982.5327510917031
2021-01-02,1,9.0,982.5327510917031
2021-01-03,1,11.0,1200.8733624454148
2021-01-04,0,8.0,873.3624454148471
2021-01-05,0,4.0,436.68122270742356
2021-01-08,2,3.0,327.51091703056767
2021-01-09,0,2.0,218.34061135371178
2021-01-10,0,3.0,327.51091703056767
2021-01-11,0,3.0,327.51091703056767
2021-01-12,0,2.0,218.34061135371178
2021-01-13,1,3.0,327.51091703056767
2021-01-14,0,4.0,436.68122270742356
2021-01-15,1,5.0,545.8515283842795
2021-01-16,1,7.0,764.1921397379913
2021-01-17,1,6.0,655.0218340611353
2021-01-18,1,7.0,764.1921397379913
2021-01-19,2,8.0,873.3624454148471
2021-01-20,0,11.0,1200.8733624454148
2021-01-21,1,11.0,1200.8733624454148
2021-01-22,2,11.0,1200.8733624454148
2021-01-23,4,11.0,1200.8733624454148
2021-01-24,1,11.0,1200.8733624454148
2021-01-25,1,11.0,1200.8733624454148
2021-01-26,2,10.0,1091.703056768559
2021-01-27,0,6.0,655.0218340611353
2021-01-28,1,8.0,873.3624454148471
2021-01-29,1,8.0,873.3624454148471
2021-01-30,0,6.0,655.0218340611353
2021-01-31,3,7.0,764.1921397379913
2021-02-01,1,7.0,764.1921397379913
2021-02-02,0,6.0,655.0218340611353
2021-02-03,1,6.0,655.0218340611353
2021-02-04,1,6.0,655.0218340611353
2021-02-05,0,5.0,545.8515283842795
2021-02-06,0,5.0,545.8515283842795
2021-02-07,3,4.0,436.68122270742356
2021-02-08,0,5.0,545.8515283842795
2021-02-09,0,6.0,655.0218340611353
2021-02-10,0,6.0,655.0218340611353
2021-02-11,2,5.0,545.8515283842795
2021-02-12,1,5.0,545.8515283842795
2021-02-13,0,5.0,545.8515283842795
2021-02-14,2,5.0,545.8515283842795
2021-02-15,0,4.0,436.68122270742356
2021-02-16,0,3.0,327.51091703056767
2021-02-17,0,3.0,327.51091703056767
2021-02-18,1,2.0,218.34061135371178
2021-02-19,0,2.0,218.34061135371178
2021-02-20,0,4.0,436.68122270742356
2021-02-21,1,4.0,436.68122270742356
2021-02-22,0,4.0,436.68122270742356
2021-02-23,2,4.0,436.68122270742356
2021-02-24,0,4.0,436.68122270742356
2021-02-25,1,3.0,327.51091703056767
2021-02-26,0,3.0,327.51091703056767
2021-02-27,0,1.0,109.17030567685589
2021-02-28,0,,
2021-03-01,0,,
2021-03-02,0,,
