,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,0.0,0.0
2020-09-08,0,0.0,0.0
2020-09-09,0,0.0,0.0
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,0,0.0,0.0
2020-09-16,0,0.0,0.0
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,1,1.0,46.707146193367585
2020-10-04,0,1.0,46.707146193367585
2020-10-05,0,1.0,46.707146193367585
2020-10-06,0,1.0,46.707146193367585
2020-10-07,0,1.0,46.707146193367585
2020-10-08,0,1.0,46.707146193367585
2020-10-09,0,1.0,46.707146193367585
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-13,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,1,1.0,46.707146193367585
2020-10-16,0,1.0,46.707146193367585
2020-10-17,0,1.0,46.707146193367585
2020-10-18,0,1.0,46.707146193367585
2020-10-19,0,1.0,46.707146193367585
2020-10-20,0,1.0,46.707146193367585
2020-10-21,0,1.0,46.707146193367585
2020-10-22,0,0.0,0.0
2020-10-23,0,0.0,0.0
2020-10-24,0,0.0,0.0
2020-10-25,0,0.0,0.0
2020-10-26,0,0.0,0.0
2020-10-27,0,0.0,0.0
2020-10-28,0,0.0,0.0
2020-10-29,1,1.0,46.707146193367585
2020-10-30,0,1.0,46.707146193367585
2020-10-31,0,1.0,46.707146193367585
2020-11-01,0,1.0,46.707146193367585
2020-11-02,0,1.0,46.707146193367585
2020-11-03,1,2.0,93.41429238673517
2020-11-04,0,2.0,93.41429238673517
2020-11-05,0,1.0,46.707146193367585
2020-11-06,1,2.0,93.41429238673517
2020-11-07,2,4.0,186.82858477347034
2020-11-08,4,8.0,373.6571695469407
2020-11-09,3,11.0,513.7786081270434
2020-11-10,9,19.0,887.4357776739841
2020-11-11,19,38.0,1774.8715553479683
2020-11-12,1,39.0,1821.578701541336
2020-11-13,3,41.0,1914.9929939280707
2020-11-14,6,45.0,2101.8215787015415
