,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,2,,
2020-09-20,0,7.0,70.9795173392821
2020-09-21,5,7.0,70.9795173392821
2020-09-23,0,7.0,70.9795173392821
2020-09-26,0,5.0,50.69965524234435
2020-09-27,0,6.0,60.839586290813216
2020-09-28,0,1.0,10.13993104846887
2020-10-02,0,1.0,10.13993104846887
2020-10-03,1,1.0,10.13993104846887
2020-10-04,0,1.0,10.13993104846887
2020-10-05,0,1.0,10.13993104846887
2020-10-06,0,1.0,10.13993104846887
2020-10-07,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,1.0,10.13993104846887
2020-10-16,0,2.0,20.27986209693774
2020-10-17,0,9.0,91.25937943621983
2020-10-19,1,13.0,131.81910363009533
2020-10-26,1,16.0,162.23889677550193
2020-11-02,7,17.0,172.3788278239708
2020-11-04,4,27.0,273.7781383086595
2020-11-09,3,34.0,344.7576556479416
2020-11-10,1,36.0,365.0375177448793
2020-11-16,10,30.0,304.1979314540661
2020-11-17,8,27.0,273.7781383086595
2020-11-18,3,27.0,273.7781383086595
2020-11-19,1,28.0,283.9180693571284
2020-11-20,1,19.0,192.65868992090853
2020-11-21,3,20.0,202.7986209693774
2020-11-22,2,19.0,192.65868992090853
2020-11-23,1,22.0,223.07848306631516
2020-11-24,9,22.0,223.07848306631516
2020-11-25,2,23.0,233.21841411478403
2020-11-27,4,23.0,233.21841411478403
2020-11-28,1,25.0,253.49827621172176
2020-11-29,4,17.0,172.3788278239708
2020-11-30,2,15.0,152.09896572703306
2020-12-01,3,15.0,152.09896572703306
2020-12-02,1,19.0,192.65868992090853
2020-12-03,0,16.0,162.23889677550193
2020-12-04,4,19.0,192.65868992090853
2020-12-05,5,17.0,172.3788278239708
2020-12-07,1,17.0,172.3788278239708
2020-12-08,5,17.0,172.3788278239708
2020-12-09,1,13.0,131.81910363009533
2020-12-10,1,9.0,91.25937943621983
2020-12-11,0,10.0,101.3993104846887
2020-12-12,0,6.0,60.839586290813216
2020-12-13,1,5.0,50.69965524234435
2020-12-14,2,5.0,50.69965524234435
2020-12-15,1,8.0,81.11944838775096
2020-12-16,0,11.0,111.53924153315758
2020-12-17,1,14.0,141.9590346785642
2020-12-18,3,16.0,162.23889677550193
2020-12-19,3,18.0,182.51875887243966
2020-12-20,4,19.0,192.65868992090853
2020-12-21,4,21.0,212.9385520178463
2020-12-22,3,19.0,192.65868992090853
2020-12-23,1,17.0,172.3788278239708
2020-12-24,3,14.0,141.9590346785642
2020-12-25,1,10.0,101.3993104846887
2020-12-27,1,7.0,70.9795173392821
2020-12-29,1,9.0,91.25937943621983
2020-12-30,0,7.0,70.9795173392821
2020-12-31,0,10.0,101.3993104846887
2021-01-01,3,12.0,121.67917258162643
2021-01-02,1,12.0,121.67917258162643
2021-01-03,4,14.0,141.9590346785642
2021-01-04,3,15.0,152.09896572703306
2021-01-05,1,20.0,202.7986209693774
2021-01-08,2,26.0,263.63820726019065
2021-01-09,1,28.0,283.9180693571284
2021-01-10,8,25.0,253.49827621172176
2021-01-11,7,32.0,324.47779355100386
2021-01-12,6,41.0,415.73717298722374
2021-01-13,0,46.0,466.43682822956805
2021-01-14,8,39.0,395.4573108902859
2021-01-15,11,35.0,354.89758669641043
2021-01-16,6,32.0,324.47779355100386
2021-01-17,1,32.0,324.47779355100386
2021-01-18,3,30.0,304.1979314540661
2021-01-19,3,21.0,212.9385520178463
2021-01-20,0,16.0,162.23889677550193
2021-01-21,6,18.0,182.51875887243966
2021-01-22,2,17.0,172.3788278239708
2021-01-23,1,15.0,152.09896572703306
2021-01-24,3,15.0,152.09896572703306
2021-01-25,2,10.0,101.3993104846887
2021-01-26,1,8.0,81.11944838775096
2021-01-27,0,8.0,81.11944838775096
2021-01-28,1,10.0,101.3993104846887
2021-01-29,0,9.0,91.25937943621983
2021-01-30,1,10.0,101.3993104846887
2021-01-31,5,10.0,101.3993104846887
2021-02-01,1,12.0,121.67917258162643
2021-02-02,2,16.0,162.23889677550193
2021-02-03,0,19.0,192.65868992090853
2021-02-04,3,14.0,141.9590346785642
2021-02-05,4,13.0,131.81910363009533
2021-02-06,4,13.0,131.81910363009533
2021-02-07,0,13.0,131.81910363009533
2021-02-08,0,13.0,131.81910363009533
2021-02-09,2,10.0,101.3993104846887
2021-02-10,0,8.0,81.11944838775096
2021-02-11,3,10.0,101.3993104846887
2021-02-12,1,12.0,121.67917258162643
2021-02-13,2,11.0,111.53924153315758
2021-02-14,2,12.0,121.67917258162643
2021-02-15,2,11.0,111.53924153315758
2021-02-16,1,10.0,101.3993104846887
2021-02-17,1,9.0,91.25937943621983
2021-02-18,2,8.0,81.11944838775096
2021-02-19,0,12.0,121.67917258162643
2021-02-20,1,14.0,141.9590346785642
2021-02-21,1,14.0,141.9590346785642
2021-02-22,6,13.0,131.81910363009533
2021-02-23,3,17.0,172.3788278239708
2021-02-24,1,22.0,223.07848306631516
2021-02-25,1,25.0,253.49827621172176
2021-02-26,4,29.0,294.0580004055972
2021-02-27,6,27.0,273.7781383086595
2021-02-28,4,,
2021-03-01,10,,
2021-03-02,1,,
