,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-19,0,0.0,0.0
2020-10-26,0,0.0,0.0
2020-11-01,0,0.0,0.0
2020-11-02,0,0.0,0.0
2020-11-03,0,0.0,0.0
2020-11-04,0,4.0,192.30769230769232
2020-11-06,0,4.0,192.30769230769232
2020-11-07,0,5.0,240.3846153846154
2020-11-08,4,6.0,288.46153846153845
2020-11-09,0,6.0,288.46153846153845
2020-11-10,1,7.0,336.53846153846155
2020-11-11,1,10.0,480.7692307692308
2020-11-12,0,8.0,384.61538461538464
2020-11-13,1,9.0,432.69230769230774
2020-11-14,3,8.0,384.61538461538464
2020-11-15,2,7.0,336.53846153846155
2020-11-16,1,9.0,432.69230769230774
2020-11-17,0,8.0,384.61538461538464
2020-11-18,0,5.0,240.3846153846154
2020-11-19,2,5.0,240.3846153846154
2020-11-20,0,6.0,288.46153846153845
2020-11-21,0,6.0,288.46153846153845
2020-11-22,2,7.0,336.53846153846155
2020-11-23,2,6.0,288.46153846153845
2020-11-24,0,6.0,288.46153846153845
2020-11-25,1,6.0,288.46153846153845
2020-11-26,1,4.0,192.30769230769232
2020-11-27,0,2.0,96.15384615384616
2020-11-28,0,3.0,144.23076923076923
2020-11-29,0,3.0,144.23076923076923
2020-11-30,0,5.0,240.3846153846154
2020-12-01,1,6.0,288.46153846153845
2020-12-02,1,6.0,288.46153846153845
2020-12-03,3,6.0,288.46153846153845
2020-12-04,1,8.0,384.61538461538464
2020-12-05,0,8.0,384.61538461538464
2020-12-06,0,7.0,336.53846153846155
2020-12-07,2,4.0,192.30769230769232
2020-12-08,1,3.0,144.23076923076923
2020-12-09,0,4.0,192.30769230769232
