,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,1.0,5.56235398820781
2020-10-03,0,1.0,5.56235398820781
2020-10-04,0,2.0,11.12470797641562
2020-10-06,1,3.0,16.687061964623428
2020-10-07,0,4.0,22.24941595283124
2020-10-11,1,6.0,33.374123929246856
2020-10-12,1,6.0,33.374123929246856
2020-10-14,1,5.0,27.81176994103905
2020-10-15,2,6.0,33.374123929246856
2020-10-16,0,12.0,66.74824785849371
2020-10-17,0,15.0,83.43530982311714
2020-10-26,1,27.0,150.18355768161086
2020-11-02,7,42.0,233.618867504728
2020-11-09,4,84.0,467.237735009456
2020-11-10,13,122.0,678.6071865613527
2020-11-16,17,132.0,734.2307264434309
2020-11-17,42,159.0,884.4142841250417
2020-11-18,38,184.0,1023.4731338302369
2020-11-19,11,192.0,1067.9719657358994
2020-11-20,34,192.0,1067.9719657358994
2020-11-21,29,178.0,990.0990099009902
2020-11-22,21,162.0,901.1013460896651
2020-11-23,17,165.0,917.7884080542885
2020-11-24,28,145.0,806.5413282901325
2020-11-25,22,120.0,667.4824785849371
2020-11-27,14,133.0,739.7930804316386
2020-11-28,14,131.0,728.668372455223
2020-11-29,4,105.0,584.04716876182
2020-11-30,34,103.0,572.9224607854044
2020-12-01,15,102.0,567.3601067971966
2020-12-02,2,91.0,506.1742129269107
2020-12-05,20,107.0,595.1718767382356
2020-12-07,13,84.0,467.237735009456
2020-12-11,3,78.0,433.8636110802091
2020-12-12,20,80.0,444.9883190566248
2020-12-13,11,69.0,383.80242518633884
2020-12-15,9,70.0,389.36477917454664
2020-12-16,4,74.0,411.61419512737785
2020-12-17,9,58.0,322.61653131605294
2020-12-18,14,51.0,283.6800533985983
2020-12-19,7,49.0,272.55534542218265
2020-12-20,4,50.0,278.1176994103905
2020-12-22,4,43.0,239.18122149293583
2020-12-24,7,29.0,161.30826565802647
2020-12-25,5,26.0,144.62120369340303
2020-12-27,2,27.0,150.18355768161086
2020-12-29,0,28.0,155.74591166981867
2020-12-31,4,29.0,161.30826565802647
2021-01-01,5,28.0,155.74591166981867
2021-01-02,5,29.0,161.30826565802647
2021-01-03,8,37.0,205.80709756368893
2021-01-04,4,37.0,205.80709756368893
2021-01-05,3,35.0,194.68238958727332
2021-01-08,8,37.0,205.80709756368893
2021-01-09,4,30.0,166.87061964623427
2021-01-10,3,28.0,155.74591166981867
2021-01-11,7,36.0,200.24474357548112
2021-01-12,1,32.0,177.9953276226499
2021-01-13,2,29.0,161.30826565802647
2021-01-14,11,28.0,155.74591166981867
2021-01-15,4,26.0,144.62120369340303
2021-01-16,1,32.0,177.9953276226499
2021-01-17,2,31.0,172.43297363444208
2021-01-18,5,24.0,133.49649571698743
2021-01-19,7,29.0,161.30826565802647
2021-01-20,1,36.0,200.24474357548112
2021-01-21,4,38.0,211.36945155189676
2021-01-22,9,39.0,216.93180554010456
2021-01-23,8,34.0,189.12003559906552
2021-01-24,4,33.0,183.5576816108577
2021-01-25,6,35.0,194.68238958727332
2021-01-26,2,27.0,150.18355768161086
2021-01-27,0,24.0,133.49649571698743
2021-01-28,6,24.0,133.49649571698743
2021-01-29,1,19.0,105.68472577594838
2021-01-30,5,22.0,122.3717877405718
2021-01-31,4,22.0,122.3717877405718
2021-02-01,1,17.0,94.56001779953276
2021-02-02,5,21.0,116.809433752364
2021-02-03,0,21.0,116.809433752364
2021-02-04,1,22.0,122.3717877405718
2021-02-05,5,26.0,144.62120369340303
2021-02-06,5,23.0,127.93414172877961
2021-02-07,5,24.0,133.49649571698743
2021-02-08,5,26.0,144.62120369340303
2021-02-09,2,27.0,150.18355768161086
2021-02-10,1,23.0,127.93414172877961
2021-02-11,3,20.0,111.2470797641562
2021-02-12,6,16.0,88.99766381132495
2021-02-13,1,14.0,77.87295583490933
2021-02-14,2,13.0,72.31060184670152
2021-02-15,1,10.0,55.6235398820781
2021-02-16,0,9.0,50.06118589387028
2021-02-17,0,8.0,44.49883190566248
2021-02-18,0,7.0,38.93647791745467
2021-02-19,5,8.0,44.49883190566248
2021-02-20,0,9.0,50.06118589387028
2021-02-21,1,9.0,50.06118589387028
2021-02-22,2,12.0,66.74824785849371
2021-02-23,1,12.0,66.74824785849371
2021-02-24,0,16.0,88.99766381132495
2021-02-25,3,19.0,105.68472577594838
2021-02-26,5,26.0,144.62120369340303
2021-02-27,4,31.0,172.43297363444208
2021-02-28,4,,
2021-03-01,9,,
2021-03-02,6,,
