,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,0.0,0.0
2020-09-08,0,0.0,0.0
2020-09-09,0,0.0,0.0
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,0,0.0,0.0
2020-09-16,0,0.0,0.0
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,3,3.0,131.34851138353764
2020-10-04,0,3.0,131.34851138353764
2020-10-05,0,3.0,131.34851138353764
2020-10-06,0,3.0,131.34851138353764
2020-10-07,1,4.0,175.13134851138355
2020-10-08,0,4.0,175.13134851138355
2020-10-09,1,5.0,218.91418563922943
2020-10-10,2,4.0,175.13134851138355
2020-10-11,1,5.0,218.91418563922943
2020-10-12,0,5.0,218.91418563922943
2020-10-13,0,5.0,218.91418563922943
2020-10-14,0,4.0,175.13134851138355
2020-10-15,0,4.0,175.13134851138355
2020-10-16,0,3.0,131.34851138353764
2020-10-17,0,1.0,43.78283712784589
2020-10-18,0,0.0,0.0
2020-10-19,0,0.0,0.0
2020-10-20,0,0.0,0.0
2020-10-21,0,0.0,0.0
2020-10-22,0,0.0,0.0
2020-10-23,0,0.0,0.0
2020-10-24,0,0.0,0.0
2020-10-25,0,0.0,0.0
2020-10-26,0,0.0,0.0
2020-10-27,1,1.0,43.78283712784589
2020-10-28,1,2.0,87.56567425569177
2020-10-29,0,2.0,87.56567425569177
2020-10-30,0,2.0,87.56567425569177
2020-10-31,3,5.0,218.91418563922943
2020-11-01,0,5.0,218.91418563922943
2020-11-02,1,6.0,262.6970227670753
2020-11-03,0,5.0,218.91418563922943
2020-11-04,3,7.0,306.4798598949212
2020-11-05,0,7.0,306.4798598949212
2020-11-06,0,7.0,306.4798598949212
2020-11-07,0,4.0,175.13134851138355
2020-11-08,1,5.0,218.91418563922943
2020-11-09,2,6.0,262.6970227670753
2020-11-10,1,7.0,306.4798598949212
2020-11-11,4,8.0,350.2626970227671
2020-11-12,0,8.0,350.2626970227671
2020-11-13,5,13.0,569.1768826619965
2020-11-14,2,15.0,656.7425569176883
