,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,2,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,2.0,53.53319057815846
2020-09-08,0,2.0,53.53319057815846
2020-09-09,0,2.0,53.53319057815846
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,0,0.0,0.0
2020-09-16,0,0.0,0.0
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-08,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-13,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-18,0,0.0,0.0
2020-10-19,1,1.0,26.76659528907923
2020-10-20,0,1.0,26.76659528907923
2020-10-21,0,1.0,26.76659528907923
2020-10-22,0,1.0,26.76659528907923
2020-10-23,0,1.0,26.76659528907923
2020-10-24,0,1.0,26.76659528907923
2020-10-25,0,1.0,26.76659528907923
2020-10-26,1,1.0,26.76659528907923
2020-10-27,1,2.0,53.53319057815846
2020-10-28,1,3.0,80.29978586723769
2020-10-29,0,3.0,80.29978586723769
2020-10-30,1,4.0,107.06638115631692
2020-10-31,2,6.0,160.59957173447538
2020-11-01,0,6.0,160.59957173447538
2020-11-02,2,7.0,187.3661670235546
2020-11-03,1,7.0,187.3661670235546
2020-11-04,5,11.0,294.4325481798715
2020-11-05,0,11.0,294.4325481798715
2020-11-06,1,11.0,294.4325481798715
2020-11-07,1,10.0,267.66595289079225
2020-11-08,2,12.0,321.19914346895075
2020-11-09,2,12.0,321.19914346895075
2020-11-10,3,14.0,374.7323340471092
2020-11-11,1,10.0,267.66595289079225
2020-11-12,0,10.0,267.66595289079225
2020-11-13,4,13.0,347.96573875802994
2020-11-14,5,17.0,455.0321199143469
