,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-26,0,0.0,0.0
2020-11-02,0,0.0,0.0
2020-11-09,0,0.0,0.0
2020-11-10,0,3.0,437.3177842565598
2020-11-16,0,3.0,437.3177842565598
2020-11-17,0,5.0,728.862973760933
2020-11-18,3,10.0,1457.725947521866
2020-11-19,0,10.0,1457.725947521866
2020-11-20,2,10.0,1457.725947521866
2020-11-21,5,10.0,1457.725947521866
2020-11-22,0,11.0,1603.4985422740524
2020-11-23,0,12.0,1749.271137026239
2020-11-24,0,10.0,1457.725947521866
2020-11-25,4,6.0,874.6355685131196
2020-11-27,1,9.0,1311.9533527696794
2020-11-28,0,9.0,1311.9533527696794
2020-11-29,1,9.0,1311.9533527696794
2020-11-30,3,5.0,728.862973760933
2020-12-01,0,4.0,583.0903790087464
2020-12-02,0,4.0,583.0903790087464
2020-12-05,0,3.0,437.3177842565598
2020-12-07,0,0.0,0.0
2020-12-11,0,0.0,0.0
2020-12-12,0,0.0,0.0
2020-12-13,0,0.0,0.0
2020-12-15,0,0.0,0.0
2020-12-16,0,0.0,0.0
2020-12-17,0,0.0,0.0
2020-12-18,0,0.0,0.0
2020-12-19,0,0.0,0.0
2020-12-20,0,0.0,0.0
2020-12-22,0,0.0,0.0
2020-12-24,0,0.0,0.0
2020-12-25,0,0.0,0.0
2020-12-27,0,0.0,0.0
2020-12-29,0,0.0,0.0
2020-12-31,0,1.0,145.7725947521866
2021-01-01,0,1.0,145.7725947521866
2021-01-02,0,1.0,145.7725947521866
2021-01-03,1,1.0,145.7725947521866
2021-01-04,0,1.0,145.7725947521866
2021-01-05,0,1.0,145.7725947521866
2021-01-08,0,1.0,145.7725947521866
2021-01-09,0,0.0,0.0
2021-01-10,0,0.0,0.0
2021-01-11,0,0.0,0.0
2021-01-12,0,1.0,145.7725947521866
2021-01-13,0,1.0,145.7725947521866
2021-01-14,0,1.0,145.7725947521866
2021-01-15,1,1.0,145.7725947521866
2021-01-16,0,3.0,437.3177842565598
2021-01-17,0,3.0,437.3177842565598
2021-01-18,0,4.0,583.0903790087464
2021-01-19,2,4.0,583.0903790087464
2021-01-20,0,5.0,728.862973760933
2021-01-21,1,5.0,728.862973760933
2021-01-22,1,6.0,874.6355685131196
2021-01-23,1,5.0,728.862973760933
2021-01-24,0,5.0,728.862973760933
2021-01-25,1,4.0,583.0903790087464
2021-01-26,1,3.0,437.3177842565598
2021-01-27,0,2.0,291.5451895043732
2021-01-28,0,2.0,291.5451895043732
2021-01-29,0,1.0,145.7725947521866
2021-01-30,0,0.0,0.0
2021-01-31,0,0.0,0.0
2021-02-01,0,0.0,0.0
2021-02-02,0,0.0,0.0
2021-02-03,0,0.0,0.0
2021-02-04,0,0.0,0.0
2021-02-05,0,0.0,0.0
2021-02-06,0,0.0,0.0
2021-02-07,0,0.0,0.0
2021-02-09,0,0.0,0.0
2021-02-10,0,1.0,145.7725947521866
2021-02-11,0,1.0,145.7725947521866
2021-02-12,0,1.0,145.7725947521866
2021-02-13,1,1.0,145.7725947521866
2021-02-14,0,1.0,145.7725947521866
2021-02-15,0,1.0,145.7725947521866
2021-02-16,0,1.0,145.7725947521866
2021-02-17,0,0.0,0.0
2021-02-18,0,0.0,0.0
2021-02-19,0,0.0,0.0
2021-02-20,0,0.0,0.0
2021-02-21,0,0.0,0.0
2021-02-22,0,0.0,0.0
2021-02-23,0,0.0,0.0
2021-02-24,0,0.0,0.0
2021-02-25,0,0.0,0.0
2021-02-26,0,,
2021-02-27,0,,
2021-02-28,0,,
