,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,1.0,15.229972586049346
2020-10-14,0,2.0,30.459945172098692
2020-10-15,0,2.0,30.459945172098692
2020-10-16,1,7.0,106.60980810234541
2020-10-17,1,8.0,121.83978068839477
2020-10-26,0,16.0,243.67956137678954
2020-11-02,5,20.0,304.5994517209869
2020-11-09,1,22.0,335.0593968930856
2020-11-10,8,27.0,411.20925982333233
2020-11-16,4,31.0,472.12915016752964
2020-11-17,3,29.0,441.6692049954311
2020-11-18,6,28.0,426.43923240938165
2020-11-19,4,20.0,304.5994517209869
2020-11-20,3,16.0,243.67956137678954
2020-11-21,0,24.0,365.5193420651843
2020-11-22,0,20.0,304.5994517209869
2020-11-23,0,18.0,274.1395065488882
2020-11-24,11,21.0,319.8294243070362
2020-11-25,2,21.0,319.8294243070362
2020-11-27,2,26.0,395.97928723728296
2020-11-28,6,43.0,654.8888212001219
2020-11-29,0,36.0,548.2790130977764
2020-11-30,5,36.0,548.2790130977764
2020-12-01,17,42.0,639.6588486140724
2020-12-02,4,39.0,593.9689308559244
2020-12-05,2,43.0,654.8888212001219
2020-12-07,8,45.0,685.3487663722204
2020-12-11,3,31.0,472.12915016752964
2020-12-12,4,28.0,426.43923240938165
2020-12-13,7,26.0,395.97928723728296
2020-12-15,3,23.0,350.28936947913496
2020-12-16,1,20.0,304.5994517209869
2020-12-17,0,17.0,258.9095339628389
2020-12-18,5,14.0,213.21961620469082
2020-12-19,0,13.0,197.98964361864148
2020-12-20,1,18.0,274.1395065488882
2020-12-22,4,19.0,289.36947913493754
2020-12-24,2,14.0,213.21961620469082
2020-12-25,6,15.0,228.44958879074017
2020-12-27,1,17.0,258.9095339628389
2020-12-29,0,14.0,213.21961620469082
2020-12-31,1,14.0,213.21961620469082
2021-01-01,3,9.0,137.0697532744441
2021-01-02,1,8.0,121.83978068839477
2021-01-03,2,8.0,121.83978068839477
2021-01-04,1,8.0,121.83978068839477
2021-01-05,0,6.0,91.37983551629607
2021-01-08,0,6.0,91.37983551629607
2021-01-09,1,5.0,76.14986293024673
2021-01-10,1,7.0,106.60980810234541
2021-01-11,1,9.0,137.0697532744441
2021-01-12,1,14.0,213.21961620469082
2021-01-13,3,17.0,258.9095339628389
2021-01-14,2,18.0,274.1395065488882
2021-01-15,5,18.0,274.1395065488882
2021-01-16,4,17.0,258.9095339628389
2021-01-17,2,14.0,213.21961620469082
2021-01-18,1,17.0,258.9095339628389
2021-01-19,0,13.0,197.98964361864148
2021-01-20,0,11.0,167.5296984465428
2021-01-21,5,10.0,152.29972586049345
2021-01-22,1,13.0,197.98964361864148
2021-01-23,2,14.0,213.21961620469082
2021-01-24,1,14.0,213.21961620469082
2021-01-25,4,9.0,137.0697532744441
2021-01-26,1,13.0,197.98964361864148
2021-01-27,0,13.0,197.98964361864148
2021-01-28,0,15.0,228.44958879074017
2021-01-29,5,13.0,197.98964361864148
2021-01-30,2,14.0,213.21961620469082
2021-01-31,3,15.0,228.44958879074017
2021-02-01,2,16.0,243.67956137678954
2021-02-02,2,17.0,258.9095339628389
2021-02-03,1,21.0,319.8294243070362
2021-02-04,1,18.0,274.1395065488882
2021-02-05,6,20.0,304.5994517209869
2021-02-06,6,18.0,274.1395065488882
2021-02-07,0,18.0,274.1395065488882
2021-02-09,4,20.0,304.5994517209869
2021-02-10,0,17.0,258.9095339628389
2021-02-11,1,11.0,167.5296984465428
2021-02-12,3,14.0,213.21961620469082
2021-02-13,3,14.0,213.21961620469082
2021-02-14,0,15.0,228.44958879074017
2021-02-15,3,15.0,228.44958879074017
2021-02-16,4,14.0,213.21961620469082
2021-02-17,1,13.0,197.98964361864148
2021-02-18,1,14.0,213.21961620469082
2021-02-19,2,12.0,182.75967103259214
2021-02-20,2,13.0,197.98964361864148
2021-02-21,1,12.0,182.75967103259214
2021-02-22,1,13.0,197.98964361864148
2021-02-23,5,18.0,274.1395065488882
2021-02-24,0,23.0,350.28936947913496
2021-02-25,2,25.0,380.74931465123365
2021-02-26,7,30.0,456.89917758148033
2021-02-27,7,,
2021-02-28,3,,
2021-03-01,6,,
