,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,3,,
2020-09-15,0,,
2020-09-20,0,4.0,36.849378166743435
2020-09-21,1,4.0,36.849378166743435
2020-09-23,0,1.0,9.212344541685859
2020-09-26,0,1.0,9.212344541685859
2020-09-27,0,1.0,9.212344541685859
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-11,0,1.0,9.212344541685859
2020-10-12,0,1.0,9.212344541685859
2020-10-14,0,1.0,9.212344541685859
2020-10-15,1,2.0,18.424689083371717
2020-10-16,0,7.0,64.486411791801
2020-10-17,0,10.0,92.12344541685859
2020-10-26,1,14.0,128.972823583602
2020-11-02,5,16.0,147.39751266697374
2020-11-09,3,22.0,202.67157991708888
2020-11-10,4,24.0,221.09626900046064
2020-11-16,3,33.0,304.00736987563334
2020-11-17,6,38.0,350.0690925840626
2020-11-18,2,36.0,331.64440350069094
2020-11-19,10,42.0,386.9184707508061
2020-11-20,10,53.0,488.2542607093505
2020-11-21,1,53.0,488.2542607093505
2020-11-22,10,54.0,497.4666052510364
2020-11-23,14,53.0,488.2542607093505
2020-11-24,6,46.0,423.76784891754954
2020-11-25,3,52.0,479.0419161676647
2020-11-27,9,44.0,405.34315983417775
2020-11-28,3,34.0,313.2197144173192
2020-11-29,7,29.0,267.1579917088899
2020-11-30,2,34.0,313.2197144173192
2020-12-01,4,34.0,313.2197144173192
2020-12-02,1,33.0,304.00736987563334
2020-12-05,8,32.0,294.7950253339475
2020-12-07,9,39.0,359.2814371257485
2020-12-11,2,38.0,350.0690925840626
2020-12-12,6,40.0,368.49378166743435
2020-12-13,9,37.0,340.8567480423768
2020-12-15,3,38.0,350.0690925840626
2020-12-16,3,40.0,368.49378166743435
2020-12-17,5,40.0,368.49378166743435
2020-12-18,10,35.0,322.4320589590051
2020-12-19,4,37.0,340.8567480423768
2020-12-20,6,38.0,350.0690925840626
2020-12-22,4,38.0,350.0690925840626
2020-12-24,5,30.0,276.3703362505758
2020-12-25,4,33.0,304.00736987563334
2020-12-27,5,42.0,386.9184707508061
2020-12-29,2,44.0,405.34315983417775
2020-12-31,7,50.0,460.6172270842929
2021-01-01,15,54.0,497.4666052510364
2021-01-02,6,50.0,460.6172270842929
2021-01-03,11,56.0,515.891294334408
2021-01-04,8,49.0,451.4048825426071
2021-01-05,1,38.0,350.0690925840626
2021-01-08,8,36.0,331.64440350069094
2021-01-09,0,26.0,239.52095808383234
2021-01-10,4,18.0,165.82220175034547
2021-01-11,4,18.0,165.82220175034547
2021-01-12,1,19.0,175.0345462920313
2021-01-13,0,26.0,239.52095808383234
2021-01-14,1,26.0,239.52095808383234
2021-01-15,9,24.0,221.09626900046064
2021-01-16,7,28.0,257.945647167204
2021-01-17,4,29.0,267.1579917088899
2021-01-18,2,30.0,276.3703362505758
2021-01-19,5,25.0,230.30861354214645
2021-01-20,1,21.0,193.45923537540304
2021-01-21,2,19.0,175.0345462920313
2021-01-22,4,17.0,156.6098572086596
2021-01-23,3,14.0,128.972823583602
2021-01-24,2,14.0,128.972823583602
2021-01-25,0,14.0,128.972823583602
2021-01-26,2,14.0,128.972823583602
2021-01-27,1,15.0,138.1851681252879
2021-01-28,2,14.0,128.972823583602
2021-01-29,4,16.0,147.39751266697374
2021-01-30,4,15.0,138.1851681252879
2021-01-31,1,15.0,138.1851681252879
2021-02-01,2,14.0,128.972823583602
2021-02-02,1,11.0,101.33578995854444
2021-02-03,1,8.0,73.69875633348687
2021-02-04,1,12.0,110.54813450023032
2021-02-05,1,11.0,101.33578995854444
2021-02-06,1,13.0,119.76047904191617
2021-02-07,5,14.0,128.972823583602
2021-02-08,1,14.0,128.972823583602
2021-02-09,3,19.0,175.0345462920313
2021-02-10,2,20.0,184.24689083371717
2021-02-11,1,15.0,138.1851681252879
2021-02-12,6,17.0,156.6098572086596
2021-02-13,2,16.0,147.39751266697374
2021-02-14,0,14.0,128.972823583602
2021-02-15,3,14.0,128.972823583602
2021-02-16,2,11.0,101.33578995854444
2021-02-17,0,10.0,92.12344541685859
2021-02-18,1,14.0,128.972823583602
2021-02-19,3,14.0,128.972823583602
2021-02-20,1,14.0,128.972823583602
2021-02-21,4,14.0,128.972823583602
2021-02-22,3,18.0,165.82220175034547
2021-02-23,2,20.0,184.24689083371717
2021-02-24,0,22.0,202.67157991708888
2021-02-25,5,20.0,184.24689083371717
2021-02-26,5,24.0,221.09626900046064
2021-02-27,3,31.0,285.58268079226167
2021-02-28,2,,
2021-03-01,7,,
2021-03-02,9,,
