,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,1.0,28.876696505919725
2020-09-05,1,1.0,28.876696505919725
2020-09-06,0,1.0,28.876696505919725
2020-09-07,0,1.0,28.876696505919725
2020-09-08,0,1.0,28.876696505919725
2020-09-09,0,0.0,0.0
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,0,0.0,0.0
2020-09-16,0,0.0,0.0
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-08,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-13,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-18,0,0.0,0.0
2020-10-19,0,0.0,0.0
2020-10-20,0,0.0,0.0
2020-10-21,0,0.0,0.0
2020-10-22,0,0.0,0.0
2020-10-23,0,0.0,0.0
2020-10-24,0,0.0,0.0
2020-10-25,0,0.0,0.0
2020-10-26,0,1.0,28.876696505919725
2020-10-27,0,1.0,28.876696505919725
2020-10-28,0,4.0,115.5067860236789
2020-10-29,1,5.0,144.38348252959864
2020-10-30,0,7.0,202.1368755414381
2020-10-31,3,7.0,202.1368755414381
2020-11-01,1,9.0,259.8902685532775
2020-11-02,2,10.0,288.7669650591973
2020-11-03,0,11.0,317.64366156511693
2020-11-04,2,11.0,317.64366156511693
2020-11-05,2,10.0,288.7669650591973
2020-11-06,1,10.0,288.7669650591973
2020-11-07,3,12.0,346.52035807103664
2020-11-08,0,11.0,317.64366156511693
2020-11-09,2,11.0,317.64366156511693
2020-11-10,2,11.0,317.64366156511693
2020-11-11,1,10.0,288.7669650591973
2020-11-12,2,13.0,375.3970545769564
2020-11-13,1,14.0,404.2737510828762
2020-11-14,2,16.0,462.0271440947156
2020-11-15,3,16.0,462.0271440947156
