,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,0,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,0,0.0,0.0
2020-09-08,0,0.0,0.0
2020-09-09,0,0.0,0.0
2020-09-10,0,0.0,0.0
2020-09-11,0,0.0,0.0
2020-09-12,0,0.0,0.0
2020-09-13,0,0.0,0.0
2020-09-14,0,0.0,0.0
2020-09-15,0,0.0,0.0
2020-09-16,0,0.0,0.0
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,1,1.0,16.636167027116954
2020-10-02,0,1.0,16.636167027116954
2020-10-03,0,1.0,16.636167027116954
2020-10-04,0,1.0,16.636167027116954
2020-10-05,0,1.0,16.636167027116954
2020-10-06,0,1.0,16.636167027116954
2020-10-07,0,1.0,16.636167027116954
2020-10-08,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,1,1.0,16.636167027116954
2020-10-13,0,1.0,16.636167027116954
2020-10-14,0,1.0,16.636167027116954
2020-10-15,1,2.0,33.27233405423391
2020-10-16,0,2.0,33.27233405423391
2020-10-17,3,5.0,83.18083513558476
2020-10-18,0,5.0,83.18083513558476
2020-10-19,0,4.0,66.54466810846782
2020-10-20,0,4.0,66.54466810846782
2020-10-21,4,8.0,133.08933621693564
2020-10-22,1,8.0,133.08933621693564
2020-10-23,5,13.0,216.27017135252038
2020-10-24,11,21.0,349.359507569456
2020-10-25,3,24.0,399.26800865080685
2020-10-26,0,24.0,399.26800865080685
2020-10-27,1,25.0,415.9041756779238
2020-10-28,2,23.0,382.6318416236899
2020-10-29,5,27.0,449.1765097321577
2020-10-30,3,25.0,415.9041756779238
2020-10-31,2,16.0,266.17867243387127
2020-11-01,6,19.0,316.0871735152221
2020-11-02,7,26.0,432.54034270504076
2020-11-03,2,27.0,449.1765097321577
2020-11-04,9,34.0,565.6296789219764
2020-11-05,2,31.0,515.7211778406255
2020-11-06,4,32.0,532.3573448677425
2020-11-07,4,34.0,565.6296789219764
2020-11-08,2,30.0,499.0850108135086
2020-11-09,1,24.0,399.26800865080685
2020-11-10,6,28.0,465.81267675927467
2020-11-11,7,26.0,432.54034270504076
2020-11-12,4,28.0,465.81267675927467
