,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,1,10.0,24.827449227866328
2020-09-21,3,11.0,27.31019415065296
2020-09-23,0,14.0,34.758428919012864
2020-09-26,6,22.0,54.62038830130592
2020-09-27,1,23.0,57.10313322409256
2020-09-28,3,22.0,54.62038830130592
2020-10-02,8,24.0,59.58587814687919
2020-10-03,2,21.0,52.13764337851929
2020-10-04,2,20.0,49.654898455732656
2020-10-05,2,25.0,62.068623069665826
2020-10-06,3,26.0,64.55136799245246
2020-10-07,0,26.0,64.55136799245246
2020-10-09,8,29.0,71.99960276081235
2020-10-10,9,31.0,76.96509260638562
2020-10-11,2,30.0,74.48234768359899
2020-10-12,5,40.0,99.30979691146531
2020-10-14,4,40.0,99.30979691146531
2020-10-15,2,37.0,91.86156214310542
2020-10-16,10,43.0,106.75803167982522
2020-10-17,8,56.0,139.03371567605146
2020-10-19,6,73.0,181.2403793634242
2020-10-26,8,95.0,235.8607676647301
2020-11-02,18,110.0,273.1019415065296
2020-11-04,21,149.0,369.9289934952083
2020-11-09,24,163.0,404.68742241422115
2020-11-10,25,176.0,436.9631064104474
2020-11-16,47,194.0,481.65251502060676
2020-11-17,20,197.0,489.1007497889667
2020-11-18,21,209.0,518.8936888624063
2020-11-19,36,213.0,528.8246685535529
2020-11-20,24,195.0,484.1352599433934
2020-11-21,36,197.0,489.1007497889667
2020-11-22,29,189.0,469.2387904066737
2020-11-23,29,180.0,446.8940861015939
2020-11-24,22,170.0,422.0666368737276
2020-11-25,13,156.0,387.30820795471476
2020-11-27,27,152.0,377.3772282635682
2020-11-28,14,141.0,350.0670341129152
2020-11-29,22,134.0,332.68781965340884
2020-11-30,25,145.0,359.99801380406177
2020-12-01,18,141.0,350.0670341129152
2020-12-02,15,152.0,377.3772282635682
2020-12-03,24,167.0,414.6184021053677
2020-12-04,23,154.0,382.34271810914146
2020-12-05,25,140.0,347.58428919012863
2020-12-07,37,143.0,355.03252395848847
2020-12-08,12,124.0,307.8603704255425
2020-12-09,4,126.0,312.82586027111574
2020-12-10,18,117.0,290.48115596603606
2020-12-11,5,107.0,265.6537067381697
2020-12-12,25,100.0,248.2744922786633
2020-12-13,16,108.0,268.13645166095637
2020-12-14,27,117.0,290.48115596603606
2020-12-15,5,122.0,302.8948805799692
2020-12-16,12,128.0,317.79135011668905
2020-12-17,27,136.0,337.6533094989821
2020-12-18,10,122.0,302.8948805799692
2020-12-19,31,125.0,310.3431153483291
2020-12-20,24,123.0,305.37762550275585
2020-12-21,13,118.0,292.9639008888227
2020-12-22,8,118.0,292.9639008888227
2020-12-23,10,98.0,243.30900243309003
2020-12-24,22,79.0,196.13684890014397
2020-12-25,10,85.0,211.0333184368638
2020-12-27,11,105.0,260.6882168925964
2020-12-29,5,136.0,337.6533094989821
2020-12-30,19,130.0,322.7568399622623
2020-12-31,28,131.0,325.2395848850489
2021-01-01,41,128.0,317.79135011668905
2021-01-02,16,138.0,342.6187993445553
2021-01-03,11,128.0,317.79135011668905
2021-01-04,8,130.0,322.7568399622623
2021-01-05,15,97.0,240.82625751030338
2021-01-08,9,113.0,280.5501762748895
2021-01-09,30,104.0,258.2054719698098
2021-01-10,8,106.0,263.17096181538307
2021-01-11,32,103.0,255.72272704702317
2021-01-12,2,105.0,260.6882168925964
2021-01-13,10,93.0,230.89527781915683
2021-01-14,12,101.0,250.7572372014499
2021-01-15,11,84.0,208.55057351407717
2021-01-16,18,83.0,206.06782859129052
2021-01-17,16,84.0,208.55057351407717
2021-01-18,15,84.0,208.55057351407717
2021-01-19,1,90.0,223.44704305079696
2021-01-20,11,81.0,201.10233874571725
2021-01-21,12,68.0,168.82665474949104
2021-01-22,17,62.0,153.93018521277125
2021-01-23,9,64.0,158.89567505834452
2021-01-24,3,57.0,141.51646059883808
2021-01-25,9,52.0,129.1027359849049
2021-01-26,3,37.0,91.86156214310542
2021-01-27,4,40.0,99.30979691146531
2021-01-28,7,50.0,124.13724613933165
2021-01-29,2,45.0,111.72352152539848
2021-01-30,12,44.0,109.24077660261185
2021-01-31,13,47.0,116.68901137097176
2021-02-01,4,52.0,129.1027359849049
2021-02-02,2,54.0,134.06822583047818
2021-02-03,7,46.0,114.20626644818512
2021-02-04,12,47.0,116.68901137097176
2021-02-05,4,62.0,153.93018521277125
2021-02-06,4,65.0,161.37841998113115
2021-02-07,14,66.0,163.86116490391777
2021-02-08,19,60.0,148.96469536719798
2021-02-09,5,68.0,168.82665474949104
2021-02-10,8,73.0,181.2403793634242
2021-02-11,6,66.0,163.86116490391777
2021-02-12,12,52.0,129.1027359849049
2021-02-13,9,51.0,126.61999106211829
2021-02-14,7,48.0,119.17175629375838
2021-02-15,5,65.0,161.37841998113115
2021-02-16,4,70.0,173.79214459506431
2021-02-17,5,72.0,178.75763444063756
2021-02-18,23,79.0,196.13684890014397
2021-02-19,17,89.0,220.9642981280103
2021-02-20,11,110.0,273.1019415065296
2021-02-21,14,123.0,305.37762550275585
2021-02-22,15,125.0,310.3431153483291
2021-02-23,25,146.0,362.4807587268484
2021-02-24,18,204.0,506.47996424847315
2021-02-25,25,216.0,536.2729033219127
2021-02-26,38,224.0,556.1348627042058
2021-02-27,69,224.0,556.1348627042058
2021-02-28,26,,
2021-03-01,23,,
2021-03-02,25,,
