,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-01,0,,
2020-09-02,1,,
2020-09-03,0,,
2020-09-04,0,,
2020-09-05,0,,
2020-09-06,0,,
2020-09-07,1,2.0,21.542438604049977
2020-09-08,0,2.0,21.542438604049977
2020-09-09,0,1.0,10.771219302024988
2020-09-10,1,2.0,21.542438604049977
2020-09-11,0,2.0,21.542438604049977
2020-09-12,0,2.0,21.542438604049977
2020-09-13,0,2.0,21.542438604049977
2020-09-14,0,1.0,10.771219302024988
2020-09-15,0,1.0,10.771219302024988
2020-09-16,0,1.0,10.771219302024988
2020-09-17,0,0.0,0.0
2020-09-18,0,0.0,0.0
2020-09-19,0,0.0,0.0
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-22,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-24,0,0.0,0.0
2020-09-25,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-09-29,0,0.0,0.0
2020-09-30,0,0.0,0.0
2020-10-01,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-08,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,0.0,0.0
2020-10-11,0,0.0,0.0
2020-10-12,0,0.0,0.0
2020-10-13,0,0.0,0.0
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-18,1,1.0,10.771219302024988
2020-10-19,0,1.0,10.771219302024988
2020-10-20,1,2.0,21.542438604049977
2020-10-21,0,2.0,21.542438604049977
2020-10-22,1,3.0,32.313657906074965
2020-10-23,1,4.0,43.084877208099954
2020-10-24,2,6.0,64.62731581214993
2020-10-25,2,7.0,75.39853511417492
2020-10-26,3,10.0,107.71219302024988
2020-10-27,11,20.0,215.42438604049977
2020-10-28,1,21.0,226.19560534252477
2020-10-29,1,21.0,226.19560534252477
2020-10-30,0,20.0,215.42438604049977
2020-10-31,8,26.0,280.0517018526497
2020-11-01,0,24.0,258.5092632485997
2020-11-02,7,28.0,301.5941404566997
2020-11-03,1,18.0,193.8819474364498
2020-11-04,16,33.0,355.4502369668246
2020-11-05,6,38.0,409.3063334769496
2020-11-06,3,41.0,441.61999138302457
2020-11-07,3,36.0,387.7638948728996
2020-11-08,4,40.0,430.84877208099954
2020-11-09,10,43.0,463.1624299870745
2020-11-10,15,57.0,613.9595002154244
2020-11-11,4,45.0,484.7048685911245
2020-11-12,6,45.0,484.7048685911245
2020-11-13,7,49.0,527.7897457992245
2020-11-14,4,50.0,538.5609651012494
2020-11-15,5,51.0,549.3321844032745
2020-11-16,12,53.0,570.8746230073244
2020-11-17,4,42.0,452.39121068504954
2020-11-18,3,41.0,441.61999138302457
2020-11-19,4,39.0,420.07755277897456
2020-11-20,2,34.0,366.22145626884964
2020-11-21,5,35.0,376.9926755708746
2020-11-22,2,32.0,344.67901766479963
2020-11-23,7,27.0,290.8229211546747
2020-11-24,2,25.0,269.2804825506247
2020-11-25,10,32.0,344.67901766479963
2020-11-26,4,32.0,344.67901766479963
2020-11-27,6,36.0,387.7638948728996
2020-11-28,4,35.0,376.9926755708746
2020-11-29,8,41.0,441.61999138302457
2020-11-30,1,35.0,376.9926755708746
2020-12-01,1,34.0,366.22145626884964
2020-12-02,5,29.0,312.36535975872465
2020-12-03,2,27.0,290.8229211546747
2020-12-04,5,26.0,280.0517018526497
2020-12-05,3,25.0,269.2804825506247
2020-12-06,6,23.0,247.73804394657475
2020-12-07,4,26.0,280.0517018526497
2020-12-08,5,30.0,323.1365790607497
2020-12-09,0,25.0,269.2804825506247
2020-12-10,1,24.0,258.5092632485997
2020-12-11,2,21.0,226.19560534252477
2020-12-12,4,22.0,236.96682464454977
2020-12-13,5,21.0,226.19560534252477
2020-12-14,0,17.0,183.11072813442482
2020-12-15,0,12.0,129.25463162429986
2020-12-16,0,12.0,129.25463162429986
2020-12-17,1,12.0,129.25463162429986
2020-12-18,9,19.0,204.6531667384748
2020-12-19,2,17.0,183.11072813442482
2020-12-20,5,17.0,183.11072813442482
2020-12-21,3,20.0,215.42438604049977
2020-12-22,1,21.0,226.19560534252477
2020-12-23,2,23.0,247.73804394657475
2020-12-24,3,25.0,269.2804825506247
2020-12-25,3,19.0,204.6531667384748
2020-12-26,1,18.0,193.8819474364498
2020-12-27,4,17.0,183.11072813442482
2020-12-28,0,14.0,150.79707022834984
2020-12-29,0,13.0,140.02585092632486
2020-12-30,1,12.0,129.25463162429986
2020-12-31,5,14.0,150.79707022834984
2021-01-01,3,14.0,150.79707022834984
2021-01-02,3,16.0,172.33950883239982
2021-01-03,2,14.0,150.79707022834984
2021-01-04,2,16.0,172.33950883239982
2021-01-05,2,18.0,193.8819474364498
2021-01-07,6,23.0,247.73804394657475
2021-01-08,5,23.0,247.73804394657475
2021-01-09,0,20.0,215.42438604049977
2021-01-10,3,20.0,215.42438604049977
2021-01-11,4,22.0,236.96682464454977
2021-01-12,3,23.0,247.73804394657475
2021-01-13,1,22.0,236.96682464454977
2021-01-14,2,18.0,193.8819474364498
2021-01-15,2,15.0,161.56828953037484
2021-01-16,2,17.0,183.11072813442482
2021-01-17,6,20.0,215.42438604049977
2021-01-18,1,17.0,183.11072813442482
2021-01-19,3,17.0,183.11072813442482
2021-01-20,1,17.0,183.11072813442482
2021-01-21,2,17.0,183.11072813442482
2021-01-22,8,23.0,247.73804394657475
2021-01-23,1,22.0,236.96682464454977
2021-01-24,3,19.0,204.6531667384748
2021-01-25,0,18.0,193.8819474364498
2021-01-26,2,17.0,183.11072813442482
2021-01-27,1,17.0,183.11072813442482
2021-01-28,0,15.0,161.56828953037484
2021-01-29,9,16.0,172.33950883239982
2021-01-30,5,20.0,215.42438604049977
2021-01-31,0,17.0,183.11072813442482
