,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-10-02,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,1.0,40.79967360261118
2020-10-06,0,1.0,40.79967360261118
2020-10-07,0,1.0,40.79967360261118
2020-10-09,1,1.0,40.79967360261118
2020-10-10,0,1.0,40.79967360261118
2020-10-11,0,1.0,40.79967360261118
2020-10-12,0,1.0,40.79967360261118
2020-10-14,0,0.0,0.0
2020-10-15,0,0.0,0.0
2020-10-16,0,0.0,0.0
2020-10-17,0,0.0,0.0
2020-10-19,0,1.0,40.79967360261118
2020-10-26,0,1.0,40.79967360261118
2020-11-01,0,1.0,40.79967360261118
2020-11-02,1,1.0,40.79967360261118
2020-11-03,0,2.0,81.59934720522236
2020-11-04,0,4.0,163.19869441044472
2020-11-06,0,6.0,244.79804161566705
2020-11-07,1,5.0,203.9983680130559
2020-11-08,2,6.0,244.79804161566705
2020-11-09,2,6.0,244.79804161566705
2020-11-10,0,7.0,285.59771521827827
2020-11-11,1,6.0,244.79804161566705
2020-11-12,0,7.0,285.59771521827827
2020-11-13,1,6.0,244.79804161566705
2020-11-14,0,6.0,244.79804161566705
2020-11-15,3,12.0,489.5960832313341
2020-11-16,1,12.0,489.5960832313341
2020-11-17,0,15.0,611.9951040391677
2020-11-18,7,35.0,1427.9885760913912
2020-11-19,0,34.0,1387.18890248878
2020-11-20,4,34.0,1387.18890248878
2020-11-21,20,37.0,1509.5879232966136
2020-11-22,2,36.0,1468.7882496940024
2020-11-23,1,43.0,1754.3859649122805
2020-11-24,3,43.0,1754.3859649122805
2020-11-25,6,26.0,1060.7915136678907
2020-11-26,7,24.0,979.1921664626682
2020-11-27,4,27.0,1101.591187270502
2020-11-28,3,28.0,1142.390860873113
2020-11-29,0,22.0,897.592819257446
2020-11-30,4,17.0,693.59445124439
2020-12-01,4,14.0,571.1954304365565
2020-12-02,0,12.0,489.5960832313341
2020-12-03,2,13.0,530.3957568339454
2020-12-04,1,11.0,448.796409628723
2020-12-05,1,9.0,367.1970624235006
2020-12-06,1,9.0,367.1970624235006
2020-12-07,2,10.0,407.9967360261118
