,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,2,,
2020-09-15,1,,
2020-09-20,0,5.0,32.29348317509527
2020-09-21,0,5.0,32.29348317509527
2020-09-23,1,4.0,25.834786540076216
2020-09-26,1,3.0,19.376089905057157
2020-09-27,0,3.0,19.376089905057157
2020-10-03,1,3.0,19.376089905057157
2020-10-04,0,2.0,12.917393270038108
2020-10-06,0,2.0,12.917393270038108
2020-10-07,0,3.0,19.376089905057157
2020-10-11,0,2.0,12.917393270038108
2020-10-12,1,3.0,19.376089905057157
2020-10-14,1,5.0,32.29348317509527
2020-10-15,0,6.0,38.75217981011431
2020-10-16,1,14.0,90.42175289026675
2020-10-17,2,16.0,103.33914616030486
2020-10-26,1,23.0,148.55002260543824
2020-11-02,8,38.0,245.430472130724
2020-11-09,3,44.0,284.18265194083835
2020-11-10,8,53.0,342.31092165600984
2020-11-16,15,55.0,355.2283149260479
2020-11-17,7,56.0,361.687011561067
2020-11-18,11,61.0,393.9804947361622
2020-11-19,3,80.0,516.6957308015243
2020-11-20,9,74.0,477.9435509914099
2020-11-21,8,85.0,548.9892139766195
2020-11-22,27,80.0,516.6957308015243
2020-11-23,9,90.0,581.2826971517148
2020-11-24,18,84.0,542.5305173416004
2020-11-25,6,85.0,548.9892139766195
2020-11-27,13,92.0,594.200090421753
2020-11-28,3,91.0,587.7413937867339
2020-11-29,9,81.0,523.1544274365433
2020-11-30,34,84.0,542.5305173416004
2020-12-01,8,78.0,503.77833753148616
2020-12-02,8,77.0,497.3196408964671
2020-12-05,9,72.0,465.0261577213718
2020-12-07,7,56.0,361.687011561067
2020-12-11,2,60.0,387.5217981011432
2020-12-12,4,55.0,355.2283149260479
2020-12-13,18,52.0,335.8522250209908
2020-12-15,12,55.0,355.2283149260479
2020-12-16,3,58.0,374.6044048311051
2020-12-17,6,67.0,432.73267454627654
2020-12-18,10,50.0,322.93483175095264
2020-12-19,5,40.0,258.34786540076215
2020-12-20,13,48.0,310.0174384809145
2020-12-22,1,45.0,290.6413485758574
2020-12-24,2,35.0,226.05438222566684
2020-12-25,11,35.0,226.05438222566684
2020-12-27,3,34.0,219.59568559064783
2020-12-29,0,40.0,258.34786540076215
2020-12-31,5,44.0,284.18265194083835
2021-01-01,12,35.0,226.05438222566684
2021-01-02,7,37.0,238.97177549570495
2021-01-03,6,46.0,297.1000452108765
2021-01-04,2,42.0,271.2652586708002
2021-01-05,5,32.0,206.67829232060973
2021-01-08,9,28.0,180.8435057805335
2021-01-09,1,26.0,167.9261125104954
2021-01-10,2,25.0,161.46741587547632
2021-01-11,3,24.0,155.00871924045725
2021-01-12,4,26.0,167.9261125104954
2021-01-13,1,32.0,206.67829232060973
2021-01-14,4,36.0,232.5130788606859
2021-01-15,11,37.0,238.97177549570495
2021-01-16,7,38.0,245.430472130724
2021-01-17,6,39.0,251.88916876574308
2021-01-18,4,41.0,264.80656203578116
2021-01-19,5,35.0,226.05438222566684
2021-01-20,2,29.0,187.30220241555256
2021-01-21,6,24.0,155.00871924045725
2021-01-22,5,26.0,167.9261125104954
2021-01-23,1,24.0,155.00871924045725
2021-01-24,1,24.0,155.00871924045725
2021-01-25,6,24.0,155.00871924045725
2021-01-26,3,23.0,148.55002260543824
2021-01-27,2,30.0,193.7608990505716
2021-01-28,6,33.0,213.13698895562877
2021-01-29,4,31.0,200.21959568559066
2021-01-30,8,32.0,206.67829232060973
2021-01-31,4,31.0,200.21959568559066
2021-02-01,4,25.0,161.46741587547632
2021-02-02,4,22.0,142.09132597041918
2021-02-03,1,15.0,96.8804495252858
2021-02-04,0,13.0,83.9630562552477
2021-02-05,1,14.0,90.42175289026675
2021-02-06,1,11.0,71.04566298520959
2021-02-07,2,11.0,71.04566298520959
2021-02-09,5,15.0,96.8804495252858
2021-02-10,1,19.0,122.715236065362
2021-02-11,1,30.0,193.7608990505716
2021-02-12,4,33.0,213.13698895562877
2021-02-13,5,37.0,238.97177549570495
2021-02-14,12,39.0,251.88916876574308
2021-02-15,5,42.0,271.2652586708002
2021-02-16,9,52.0,335.8522250209908
2021-02-17,3,53.0,342.31092165600984
2021-02-18,4,48.0,310.0174384809145
2021-02-19,14,50.0,322.93483175095264
2021-02-20,6,50.0,322.93483175095264
2021-02-21,7,47.0,303.5587418458955
2021-02-22,7,56.0,361.687011561067
2021-02-23,9,51.0,329.3935283859717
2021-02-24,0,50.0,322.93483175095264
2021-02-25,13,47.0,303.5587418458955
2021-02-26,9,47.0,303.5587418458955
2021-02-27,5,,
2021-02-28,4,,
2021-03-01,7,,
