,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,2,,
2020-09-15,0,,
2020-09-20,0,2.0,15.704750687082843
2020-09-21,0,2.0,15.704750687082843
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,1.0,7.852375343541421
2020-10-11,0,3.0,23.557126030624264
2020-10-12,0,3.0,23.557126030624264
2020-10-14,1,3.0,23.557126030624264
2020-10-15,2,4.0,31.409501374165686
2020-10-16,0,10.0,78.52375343541422
2020-10-17,0,21.0,164.89988221436985
2020-10-26,1,33.0,259.12838633686687
2020-11-02,6,48.0,376.9140164899882
2020-11-09,11,52.0,408.3235178641539
2020-11-10,13,58.0,455.43776992540245
2020-11-16,17,63.0,494.69964664310953
2020-11-17,4,60.0,471.1425206124852
2020-11-18,6,61.0,478.99489595602665
2020-11-19,6,55.0,431.88064389477813
2020-11-20,3,43.0,337.65213977228115
2020-11-21,12,47.0,369.0616411464468
2020-11-22,7,46.0,361.2092658029054
2020-11-23,5,47.0,369.0616411464468
2020-11-24,8,48.0,376.9140164899882
2020-11-25,5,43.0,337.65213977228115
2020-11-27,7,39.0,306.24263839811545
2020-11-28,4,36.0,282.6855123674911
2020-11-29,7,31.0,243.42363564978405
2020-11-30,3,35.0,274.83313702394975
2020-12-01,2,35.0,274.83313702394975
2020-12-02,3,32.0,251.27601099332549
2020-12-05,9,33.0,259.12838633686687
2020-12-07,7,42.0,329.7997644287397
2020-12-11,1,42.0,329.7997644287397
2020-12-12,8,40.0,314.0950137416569
2020-12-13,12,33.0,259.12838633686687
2020-12-15,2,35.0,274.83313702394975
2020-12-16,1,38.0,298.390263054574
2020-12-17,2,33.0,259.12838633686687
2020-12-18,9,23.0,180.6046329014527
2020-12-19,4,26.0,204.16175893207696
2020-12-20,3,33.0,259.12838633686687
2020-12-22,2,35.0,274.83313702394975
2020-12-24,5,28.0,219.86650961915979
2020-12-25,8,33.0,259.12838633686687
2020-12-27,4,35.0,274.83313702394975
2020-12-29,2,36.0,282.6855123674911
2020-12-31,9,37.0,290.53788771103257
2021-01-01,5,30.0,235.5712603062426
2021-01-02,3,28.0,219.86650961915979
2021-01-03,6,33.0,259.12838633686687
2021-01-04,1,25.0,196.30938358853552
2021-01-05,2,26.0,204.16175893207696
2021-01-08,7,26.0,204.16175893207696
2021-01-09,1,27.0,212.01413427561835
2021-01-10,6,27.0,212.01413427561835
2021-01-11,3,30.0,235.5712603062426
2021-01-12,7,29.0,227.71888496270122
2021-01-13,1,30.0,235.5712603062426
2021-01-14,5,27.0,212.01413427561835
2021-01-15,6,24.0,188.4570082449941
2021-01-16,2,20.0,157.04750687082844
2021-01-17,3,19.0,149.195131527287
2021-01-18,0,19.0,149.195131527287
2021-01-19,3,24.0,188.4570082449941
2021-01-20,0,28.0,219.86650961915979
2021-01-21,5,38.0,298.390263054574
2021-01-22,11,41.0,321.94738908519827
2021-01-23,6,40.0,314.0950137416569
2021-01-24,13,40.0,314.0950137416569
2021-01-25,3,40.0,314.0950137416569
2021-01-26,2,36.0,282.6855123674911
2021-01-27,0,34.0,266.9807616804083
2021-01-28,5,22.0,172.75225755791126
2021-01-29,7,25.0,196.30938358853552
2021-01-30,4,24.0,188.4570082449941
2021-01-31,1,26.0,204.16175893207696
2021-02-01,6,27.0,212.01413427561835
2021-02-02,1,24.0,188.4570082449941
2021-02-03,2,24.0,188.4570082449941
2021-02-04,6,25.0,196.30938358853552
2021-02-05,4,25.0,196.30938358853552
2021-02-06,4,25.0,196.30938358853552
2021-02-07,2,28.0,219.86650961915979
2021-02-09,6,27.0,212.01413427561835
2021-02-10,1,28.0,219.86650961915979
2021-02-11,5,29.0,227.71888496270122
2021-02-12,5,35.0,274.83313702394975
2021-02-13,5,29.0,227.71888496270122
2021-02-14,5,28.0,219.86650961915979
2021-02-15,8,28.0,219.86650961915979
2021-02-16,0,33.0,259.12838633686687
2021-02-17,0,33.0,259.12838633686687
2021-02-18,5,36.0,282.6855123674911
2021-02-19,10,44.0,345.5045151158225
2021-02-20,5,53.0,416.17589320769537
2021-02-21,8,57.0,447.585394581861
2021-02-22,16,63.0,494.69964664310953
2021-02-23,9,64.0,502.55202198665097
2021-02-24,4,68.0,533.9615233608166
2021-02-25,11,71.0,557.5186493914408
2021-02-26,11,75.0,588.9281507656066
2021-02-27,9,,
2021-02-28,11,,
2021-03-01,20,,
