,nuovi pos.,somma mobile 7gg.,somma mobile 7gg. per 100mila abitanti
2020-09-13,0,,
2020-09-14,0,,
2020-09-15,0,,
2020-09-20,0,0.0,0.0
2020-09-21,0,0.0,0.0
2020-09-23,0,0.0,0.0
2020-09-26,0,0.0,0.0
2020-09-27,0,0.0,0.0
2020-09-28,0,0.0,0.0
2020-10-03,0,0.0,0.0
2020-10-04,0,0.0,0.0
2020-10-05,0,0.0,0.0
2020-10-06,0,0.0,0.0
2020-10-07,0,0.0,0.0
2020-10-09,0,0.0,0.0
2020-10-10,0,2.0,43.62050163576881
2020-10-11,0,2.0,43.62050163576881
2020-10-12,0,2.0,43.62050163576881
2020-10-14,2,3.0,65.43075245365321
2020-10-15,0,4.0,87.24100327153762
2020-10-16,0,6.0,130.86150490730643
2020-10-17,1,8.0,174.48200654307524
2020-10-26,1,6.0,130.86150490730643
2020-11-02,2,8.0,174.48200654307524
2020-11-04,2,14.0,305.3435114503817
2020-11-09,0,16.0,348.9640130861505
2020-11-10,2,16.0,348.9640130861505
2020-11-16,6,15.0,327.15376226826606
2020-11-17,3,15.0,327.15376226826606
2020-11-18,1,21.0,458.01526717557255
2020-11-19,1,21.0,458.01526717557255
2020-11-20,2,21.0,458.01526717557255
2020-11-21,6,20.0,436.2050163576881
2020-11-22,2,19.0,414.39476553980376
2020-11-23,6,21.0,458.01526717557255
2020-11-24,2,20.0,436.2050163576881
2020-11-25,0,16.0,348.9640130861505
2020-11-27,3,18.0,392.58451472191933
2020-11-28,1,14.0,305.3435114503817
2020-11-29,2,16.0,348.9640130861505
2020-11-30,4,16.0,348.9640130861505
2020-12-01,2,16.0,348.9640130861505
2020-12-02,4,15.0,327.15376226826606
2020-12-03,0,16.0,348.9640130861505
2020-12-04,3,12.0,261.72300981461285
2020-12-05,0,10.0,218.10250817884406
2020-12-07,3,7.0,152.67175572519085
2020-12-08,0,8.0,174.48200654307524
2020-12-09,0,6.0,130.86150490730643
2020-12-10,1,6.0,130.86150490730643
2020-12-11,1,3.0,65.43075245365321
2020-12-12,1,3.0,65.43075245365321
2020-12-13,0,3.0,65.43075245365321
2020-12-14,0,2.0,43.62050163576881
2020-12-15,0,3.0,65.43075245365321
2020-12-16,0,3.0,65.43075245365321
2020-12-17,0,8.0,174.48200654307524
2020-12-18,2,10.0,218.10250817884406
2020-12-19,1,10.0,218.10250817884406
2020-12-20,5,14.0,305.3435114503817
2020-12-22,2,17.0,370.7742639040349
2020-12-23,0,20.0,436.2050163576881
2020-12-24,4,19.0,414.39476553980376
2020-12-25,3,16.0,348.9640130861505
2020-12-27,5,14.0,305.3435114503817
2020-12-29,0,14.0,305.3435114503817
2020-12-30,2,13.0,283.5332606324973
2020-12-31,0,10.0,218.10250817884406
2021-01-01,0,7.0,152.67175572519085
2021-01-02,3,7.0,152.67175572519085
2021-01-03,0,10.0,218.10250817884406
2021-01-04,2,10.0,218.10250817884406
2021-01-05,0,13.0,283.5332606324973
2021-01-08,5,14.0,305.3435114503817
2021-01-09,0,16.0,348.9640130861505
2021-01-10,3,14.0,305.3435114503817
2021-01-11,4,14.0,305.3435114503817
2021-01-12,2,10.0,218.10250817884406
2021-01-13,0,13.0,283.5332606324973
2021-01-14,0,11.0,239.91275899672846
2021-01-15,1,7.0,152.67175572519085
2021-01-16,3,5.0,109.05125408942203
2021-01-17,1,5.0,109.05125408942203
2021-01-18,0,7.0,152.67175572519085
2021-01-19,0,7.0,152.67175572519085
2021-01-20,0,5.0,109.05125408942203
2021-01-21,2,5.0,109.05125408942203
2021-01-22,1,8.0,174.48200654307524
2021-01-23,1,10.0,218.10250817884406
2021-01-24,1,11.0,239.91275899672846
2021-01-25,3,9.0,196.29225736095967
2021-01-26,2,9.0,196.29225736095967
2021-01-27,1,10.0,218.10250817884406
2021-01-28,0,9.0,196.29225736095967
2021-01-29,1,6.0,130.86150490730643
2021-01-30,2,4.0,87.24100327153762
2021-01-31,0,3.0,65.43075245365321
2021-02-01,0,3.0,65.43075245365321
2021-02-02,0,3.0,65.43075245365321
2021-02-03,0,2.0,43.62050163576881
2021-02-04,0,6.0,130.86150490730643
2021-02-05,1,8.0,174.48200654307524
2021-02-06,1,8.0,174.48200654307524
2021-02-07,4,8.0,174.48200654307524
2021-02-08,2,8.0,174.48200654307524
2021-02-09,0,7.0,152.67175572519085
2021-02-10,0,6.0,130.86150490730643
2021-02-11,0,2.0,43.62050163576881
2021-02-12,0,0.0,0.0
2021-02-13,0,1.0,21.810250817884405
2021-02-14,0,1.0,21.810250817884405
2021-02-15,0,3.0,65.43075245365321
2021-02-16,1,4.0,87.24100327153762
2021-02-17,0,4.0,87.24100327153762
2021-02-18,2,5.0,109.05125408942203
2021-02-19,1,6.0,130.86150490730643
2021-02-20,0,10.0,218.10250817884406
2021-02-21,1,10.0,218.10250817884406
2021-02-22,1,8.0,174.48200654307524
2021-02-23,5,8.0,174.48200654307524
2021-02-24,0,9.0,196.29225736095967
2021-02-25,0,9.0,196.29225736095967
2021-02-26,1,12.0,261.72300981461285
2021-02-27,1,7.0,152.67175572519085
2021-02-28,1,,
2021-03-01,4,,
2021-03-02,0,,
