,Bastiglia,Bomporto,Campogalliano,Camposanto,Carpi,Castelfranco E.,Castelnuovo R.,Castelvetro,Cavezzo,Concordia,Fanano,Finale Emilia,Fiorano M.,Fiumalbo,Formigine,Frassinoro,Guiglia,Lama Mocogno,Maranello,Marano,Medolla,Mirandola,Modena,Montefiorino,Montese,Nonantola,Novi,Palagano,Pavullo,Pievepelago,Prignano,Polinago,Ravarino,San Cesario S/P,San Felice S/P,San Possidonio,San Prospero,Sassuolo,Savignano S/P,Serramazzoni,Sestola,Soliera,Spilamberto,Vignola,Zocca,Fuori provincia,TOTALE,Montecreto,Riolunato
2020-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-07,0.0,2.0,5.0,0.0,15.0,8.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,43.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,12.0,2.0,1.0,0.0,2.0,1.0,6.0,0.0,5.0,149.0,0.0,0.0
2020-09-08,0.0,2.0,7.0,0.0,21.0,6.0,3.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,38.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,2.0,0.0,0.0,2.0,2.0,8.0,0.0,4.0,149.0,0.0,0.0
2020-09-09,0.0,2.0,8.0,0.0,20.0,5.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,34.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,5.0,130.0,0.0,0.0
2020-09-10,0.0,2.0,9.0,0.0,23.0,5.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,36.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,7.0,0.0,5.0,129.0,0.0,0.0
2020-09-11,0.0,1.0,9.0,1.0,20.0,6.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,41.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,7.0,0.0,4.0,138.0,0.0,0.0
2020-09-12,0.0,1.0,9.0,1.0,23.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,40.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,2.0,6.0,0.0,5.0,135.0,0.0,0.0
2020-09-13,1.0,0.0,9.0,1.0,25.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,37.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,2.0,6.0,0.0,5.0,131.0,0.0,0.0
2020-09-14,1.0,0.0,9.0,1.0,26.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,30.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,4.0,4.0,0.0,5.0,110.0,0.0,0.0
2020-09-15,1.0,0.0,11.0,2.0,23.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,35.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,3.0,3.0,2.0,0.0,19.0,88.0,0.0,0.0
